model,variable,coefficient,p_value,ci_low,ci_high
Simple OLS: price ~ temperature_2m,const,80.49119035828416,0.0,79.52097191354885,81.46140880301947
Simple OLS: price ~ temperature_2m,temperature_2m,-0.34911946140801253,9.404408931753161e-20,-0.42433380853644337,-0.2739051142795817
Simple OLS: price ~ cloud_cover,const,76.74232517045928,0.0,75.58829660475463,77.89635373616393
Simple OLS: price ~ cloud_cover,cloud_cover,-0.176292453988415,0.8243695287883887,-1.733236383110671,1.380651475133841
Simple OLS: price ~ wind_speed_10m,const,108.8462028786204,0.0,107.69695907695382,109.99544668028699
Simple OLS: price ~ wind_speed_10m,wind_speed_10m,-2.259725152274508,0.0,-2.3326853211822067,-2.1867649833668095
Simple OLS: price ~ shortwave_radiation,const,81.98100074953767,0.0,81.38836695988546,82.57363453918988
Simple OLS: price ~ shortwave_radiation,shortwave_radiation,-0.04148973562173993,2.691459751903688e-226,-0.04401505827457863,-0.03896441296890123
Simple OLS: price ~ total_load,const,83.28822420570219,0.0,80.79396844323892,85.78247996816546
Simple OLS: price ~ total_load,total_load,-0.0005471376164802589,9.254203583756589e-08,-0.0007479133779128209,-0.0003463618550476969
Simple OLS: price ~ generation_forecast,const,78.61645927041772,0.0,77.88887831585555,79.34404022497989
Simple OLS: price ~ generation_forecast,generation_forecast,-0.0017323619827730465,9.999438478991677e-13,-0.0022084779804002774,-0.0012562459851458156
Pairwise OLS: price ~ temperature_2m + cloud_cover,const,80.95035370154018,0.0,79.48529653040659,82.41541087267377
Pairwise OLS: price ~ temperature_2m + cloud_cover,temperature_2m,-0.3511850246549774,6.865640488144111e-20,-0.42656143994457096,-0.27580860936538387
Pairwise OLS: price ~ temperature_2m + cloud_cover,cloud_cover,-0.6523539211522911,0.4123240655910271,-2.21198323997451,0.9072753976699279
Pairwise OLS: price ~ temperature_2m + wind_speed_10m,const,113.60726907366474,0.0,112.17993208360821,115.03460606372127
Pairwise OLS: price ~ temperature_2m + wind_speed_10m,temperature_2m,-0.4147923398568347,3.500596106369244e-28,-0.48862389228295844,-0.340960787430711
Pairwise OLS: price ~ temperature_2m + wind_speed_10m,wind_speed_10m,-2.271431395906505,0.0,-2.3443758371578687,-2.1984869546551415
Pairwise OLS: price ~ temperature_2m + shortwave_radiation,const,78.16654697374437,0.0,77.19133981297944,79.14175413450931
Pairwise OLS: price ~ temperature_2m + shortwave_radiation,temperature_2m,0.4365387287891121,4.998569656793208e-22,0.3478802555480063,0.5251972020302179
Pairwise OLS: price ~ temperature_2m + shortwave_radiation,shortwave_radiation,-0.04939446917406302,1.5154470190646043e-228,-0.05238587142723812,-0.046403066920887914
Pairwise OLS: price ~ temperature_2m + total_load,const,91.52209313495784,0.0,88.6156689539654,94.42851731595029
Pairwise OLS: price ~ temperature_2m + total_load,temperature_2m,-0.42801645921712156,3.620442164628659e-27,-0.5057027560779255,-0.35033016235631764
Pairwise OLS: price ~ temperature_2m + total_load,total_load,-0.0008340747048825887,3.1553685426322574e-15,-0.0010413785982894795,-0.0006267708114756979
Pairwise OLS: price ~ temperature_2m + generation_forecast,const,83.15958308762426,0.0,82.00871257336847,84.31045360188004
Pairwise OLS: price ~ temperature_2m + generation_forecast,temperature_2m,-0.3854463893477005,1.8659491785732838e-23,-0.4611255548401083,-0.30976722385529265
Pairwise OLS: price ~ temperature_2m + generation_forecast,generation_forecast,-0.00197624926427032,5.617418042985567e-16,-0.002454524338854511,-0.0014979741896861286
Pairwise OLS: price ~ cloud_cover + wind_speed_10m,const,103.439758360718,0.0,102.02904356744905,104.85047315398695
Pairwise OLS: price ~ cloud_cover + wind_speed_10m,cloud_cover,10.305104461404337,3.277637484272584e-38,8.74301643602784,11.867192486780834
Pairwise OLS: price ~ cloud_cover + wind_speed_10m,wind_speed_10m,-2.363901877576934,0.0,-2.438490020421819,-2.289313734732049
Pairwise OLS: price ~ cloud_cover + shortwave_radiation,const,84.77985942209757,0.0,83.53450693182917,86.02521191236598
Pairwise OLS: price ~ cloud_cover + shortwave_radiation,cloud_cover,-4.0000149389389135,5.50289941028035e-07,-5.565434266182156,-2.434595611695671
Pairwise OLS: price ~ cloud_cover + shortwave_radiation,shortwave_radiation,-0.04244787640105763,9.816983940050808e-232,-0.04500057387539811,-0.039895178926717144
Pairwise OLS: price ~ cloud_cover + total_load,const,83.205623928468,0.0,80.56717539031982,85.84407246661618
Pairwise OLS: price ~ cloud_cover + total_load,cloud_cover,0.1499042689606466,0.8507240594779047,-1.4112976949653104,1.7111062328866038
Pairwise OLS: price ~ cloud_cover + total_load,total_load,-0.0005485876253635457,9.303120762236911e-08,-0.0007499315122461707,-0.00034724373848092063
Pairwise OLS: price ~ cloud_cover + generation_forecast,const,78.16060967651056,0.0,76.94984689024658,79.37137246277454
Pairwise OLS: price ~ cloud_cover + generation_forecast,cloud_cover,0.7450255284047749,0.3558955280532243,-0.836659811712968,2.3267108685225177
Pairwise OLS: price ~ cloud_cover + generation_forecast,generation_forecast,-0.0017704636101498717,6.751517315032432e-13,-0.0022534024385853094,-0.001287524781714434
Pairwise OLS: price ~ wind_speed_10m + shortwave_radiation,const,113.27047771363551,0.0,112.09225189774479,114.44870352952624
Pairwise OLS: price ~ wind_speed_10m + shortwave_radiation,wind_speed_10m,-2.2189730121476345,0.0,-2.2916277980968713,-2.1463182261983977
