predictor,coefficient,coefficient_p_value,model_pvalue,r2,adj_r2,explained_variance,nobs,direction
wind_speed_10m,-2.259725152274508,0.0,0.0,0.03684338161958123,0.036833383626968086,0.036843381619580895,96337,falls
shortwave_radiation,-0.04148973562173993,2.691459751903688e-226,2.6914597519202063e-226,0.010649294737977932,0.010639024839132594,0.010649294737978154,96337,falls
temperature_2m,-0.34911946140801253,9.404408931753161e-20,9.40440893167978e-20,0.0008584139496191634,0.0008480424170914658,0.0008584139496191634,96337,falls
generation_forecast,-0.0017323619827730465,9.999438478991677e-13,9.99943847895289e-13,0.0005287686479578113,0.0005183716768314417,0.0005287686479578113,96133,falls
total_load,-0.0005471376164802589,9.254203583756589e-08,9.254203583799459e-08,0.0002960837454158982,0.0002857051905775787,0.0002960837454157872,96326,falls
cloud_cover,-0.176292453988415,0.8243695287883887,0.8243695288125994,5.112628925774132e-07,-9.869175045196243e-06,5.112628926884355e-07,96337,falls
