feature,model_name_price,model_name_total_load,nobs_price,nobs_total_load,dropped_rows_price,dropped_rows_total_load,r2_price,r2_total_load,adj_r2_price,adj_r2_total_load,explained_variance_price,explained_variance_total_load,model_pvalue_price,model_pvalue_total_load,coefficient_price,coefficient_total_load,coefficient_p_value_price,coefficient_p_value_total_load,ci_low_price,ci_low_total_load,ci_high_price,ci_high_total_load,summary_path_price,summary_path_total_load,delta_r2_load_minus_price,recommendation
temperature_2m,Pairwise OLS: price ~ temperature_2m,Pairwise OLS: total_load ~ temperature_2m,96337,96326,0,11,0.0008584139496191634,0.06311409467948348,0.0008480424170914658,0.06310436827790844,0.0008584139496191634,0.0631140946794837,9.40440893167978e-20,0.0,-0.34911946140801253,-94.14562433121009,9.404408931753161e-20,0.0,-0.42433380853644337,-96.43631584923199,-0.2739051142795817,-91.85493281318819,regression_outputs/weather_price_temperature_2m_summary.txt,regression_outputs/weather_total_load_temperature_2m_summary.txt,0.062255680729864316,better for load
shortwave_radiation,Pairwise OLS: price ~ shortwave_radiation,Pairwise OLS: total_load ~ shortwave_radiation,96337,96326,0,11,0.010649294737977932,0.04472858082477693,0.010639024839132594,0.04471866355162413,0.010649294737978154,0.0447285808247766,2.6914597519202063e-226,0.0,-0.04148973562173993,-2.674105181814618,2.691459751903688e-226,0.0,-0.04401505827457863,-2.7521484794887896,-0.03896441296890123,-2.5960618841404464,regression_outputs/weather_price_shortwave_radiation_summary.txt,regression_outputs/weather_total_load_shortwave_radiation_summary.txt,0.034079286086799,better for load
cloud_cover,Pairwise OLS: price ~ cloud_cover,Pairwise OLS: total_load ~ cloud_cover,96337,96326,0,11,5.112628925774132e-07,0.005625414785741634,-9.869175045196243e-06,0.005615091558039187,5.112628926884355e-07,0.005625414785741745,0.8243695288125994,3.451942800944583e-120,-0.176292453988415,581.5645367976413,0.8243695287883887,3.451942800960379e-120,-1.733236383110671,532.735074461589,1.380651475133841,630.3939991336936,regression_outputs/weather_price_cloud_cover_summary.txt,regression_outputs/weather_total_load_cloud_cover_summary.txt,0.005624903522849056,weak direct linear signal
wind_speed_10m,Pairwise OLS: price ~ wind_speed_10m,Pairwise OLS: total_load ~ wind_speed_10m,96337,96326,0,11,0.03684338161958123,0.0037058301453067877,0.036833383626968086,0.0036954869891894226,0.036843381619580895,0.0037058301453066766,0.0,9.27859284840457e-80,-2.259725152274508,22.539400907521294,0.0,9.278592848410318e-80,-2.3326853211822067,20.205514570056035,-2.1867649833668095,24.873287244986553,regression_outputs/weather_price_wind_speed_10m_summary.txt,regression_outputs/weather_total_load_wind_speed_10m_summary.txt,-0.03313755147427444,better for direct price screening
