target_column,feature,model_name,nobs,dropped_rows,r2,adj_r2,explained_variance,model_pvalue,coefficient,coefficient_p_value,ci_low,ci_high,summary_path
price,wind_speed_10m,Pairwise OLS: price ~ wind_speed_10m,96337,0,0.03684338161958123,0.036833383626968086,0.036843381619580895,0.0,-2.259725152274508,0.0,-2.3326853211822067,-2.1867649833668095,regression_outputs/weather_price_wind_speed_10m_summary.txt
price,shortwave_radiation,Pairwise OLS: price ~ shortwave_radiation,96337,0,0.010649294737977932,0.010639024839132594,0.010649294737978154,2.6914597519202063e-226,-0.04148973562173993,2.691459751903688e-226,-0.04401505827457863,-0.03896441296890123,regression_outputs/weather_price_shortwave_radiation_summary.txt
price,temperature_2m,Pairwise OLS: price ~ temperature_2m,96337,0,0.0008584139496191634,0.0008480424170914658,0.0008584139496191634,9.40440893167978e-20,-0.34911946140801253,9.404408931753161e-20,-0.42433380853644337,-0.2739051142795817,regression_outputs/weather_price_temperature_2m_summary.txt
price,cloud_cover,Pairwise OLS: price ~ cloud_cover,96337,0,5.112628925774132e-07,-9.869175045196243e-06,5.112628926884355e-07,0.8243695288125994,-0.176292453988415,0.8243695287883887,-1.733236383110671,1.380651475133841,regression_outputs/weather_price_cloud_cover_summary.txt
total_load,temperature_2m,Pairwise OLS: total_load ~ temperature_2m,96326,11,0.06311409467948348,0.06310436827790844,0.0631140946794837,0.0,-94.14562433121009,0.0,-96.43631584923199,-91.85493281318819,regression_outputs/weather_total_load_temperature_2m_summary.txt
total_load,shortwave_radiation,Pairwise OLS: total_load ~ shortwave_radiation,96326,11,0.04472858082477693,0.04471866355162413,0.0447285808247766,0.0,-2.674105181814618,0.0,-2.7521484794887896,-2.5960618841404464,regression_outputs/weather_total_load_shortwave_radiation_summary.txt
total_load,cloud_cover,Pairwise OLS: total_load ~ cloud_cover,96326,11,0.005625414785741634,0.005615091558039187,0.005625414785741745,3.451942800944583e-120,581.5645367976413,3.451942800960379e-120,532.735074461589,630.3939991336936,regression_outputs/weather_total_load_cloud_cover_summary.txt
total_load,wind_speed_10m,Pairwise OLS: total_load ~ wind_speed_10m,96326,11,0.0037058301453067877,0.0036954869891894226,0.0037058301453066766,9.27859284840457e-80,22.539400907521294,9.278592848410318e-80,20.205514570056035,24.873287244986553,regression_outputs/weather_total_load_wind_speed_10m_summary.txt
