"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2017 00:00 - 01/01/2017 00:15","BZN|NL","11061.00","11301.03"
"01/01/2017 00:15 - 01/01/2017 00:30","BZN|NL","11050.00","11241.47"
"01/01/2017 00:30 - 01/01/2017 00:45","BZN|NL","11031.00","11176.15"
"01/01/2017 00:45 - 01/01/2017 01:00","BZN|NL","10959.00","11025.76"
"01/01/2017 01:00 - 01/01/2017 01:15","BZN|NL","10903.00","10773.85"
"01/01/2017 01:15 - 01/01/2017 01:30","BZN|NL","10849.00","10609.73"
"01/01/2017 01:30 - 01/01/2017 01:45","BZN|NL","10757.00","10389.47"
"01/01/2017 01:45 - 01/01/2017 02:00","BZN|NL","10667.00","10198.39"
"01/01/2017 02:00 - 01/01/2017 02:15","BZN|NL","10503.00","10088.37"
"01/01/2017 02:15 - 01/01/2017 02:30","BZN|NL","10365.00","9961.84"
"01/01/2017 02:30 - 01/01/2017 02:45","BZN|NL","10262.00","9823.98"
"01/01/2017 02:45 - 01/01/2017 03:00","BZN|NL","10148.00","9701.41"
"01/01/2017 03:00 - 01/01/2017 03:15","BZN|NL","10096.00","9609.59"
"01/01/2017 03:15 - 01/01/2017 03:30","BZN|NL","9972.00","9539.53"
"01/01/2017 03:30 - 01/01/2017 03:45","BZN|NL","9863.00","9498.40"
"01/01/2017 03:45 - 01/01/2017 04:00","BZN|NL","9790.00","9471.46"
"01/01/2017 04:00 - 01/01/2017 04:15","BZN|NL","9743.00","9414.40"
"01/01/2017 04:15 - 01/01/2017 04:30","BZN|NL","9684.00","9424.52"
"01/01/2017 04:30 - 01/01/2017 04:45","BZN|NL","9646.00","9487.67"
"01/01/2017 04:45 - 01/01/2017 05:00","BZN|NL","9644.00","9582.04"
"01/01/2017 05:00 - 01/01/2017 05:15","BZN|NL","9639.00","9706.53"
"01/01/2017 05:15 - 01/01/2017 05:30","BZN|NL","9629.00","9789.72"
"01/01/2017 05:30 - 01/01/2017 05:45","BZN|NL","9657.00","9818.22"
"01/01/2017 05:45 - 01/01/2017 06:00","BZN|NL","9681.00","9816.97"
"01/01/2017 06:00 - 01/01/2017 06:15","BZN|NL","9735.00","9878.38"
"01/01/2017 06:15 - 01/01/2017 06:30","BZN|NL","9789.00","9940.65"
"01/01/2017 06:30 - 01/01/2017 06:45","BZN|NL","9773.00","10040.23"
"01/01/2017 06:45 - 01/01/2017 07:00","BZN|NL","9837.00","10133.29"
"01/01/2017 07:00 - 01/01/2017 07:15","BZN|NL","9988.00","10257.23"
"01/01/2017 07:15 - 01/01/2017 07:30","BZN|NL","10052.00","10450.65"
"01/01/2017 07:30 - 01/01/2017 07:45","BZN|NL","10169.00","10608.36"
"01/01/2017 07:45 - 01/01/2017 08:00","BZN|NL","10259.00","10844.16"
"01/01/2017 08:00 - 01/01/2017 08:15","BZN|NL","10371.00","11129.96"
"01/01/2017 08:15 - 01/01/2017 08:30","BZN|NL","10461.00","11475.75"
"01/01/2017 08:30 - 01/01/2017 08:45","BZN|NL","10517.00","11716.00"
"01/01/2017 08:45 - 01/01/2017 09:00","BZN|NL","10508.00","11828.71"
"01/01/2017 09:00 - 01/01/2017 09:15","BZN|NL","10628.00","11953.18"
"01/01/2017 09:15 - 01/01/2017 09:30","BZN|NL","10761.00","12149.93"
"01/01/2017 09:30 - 01/01/2017 09:45","BZN|NL","10932.00","12345.19"
"01/01/2017 09:45 - 01/01/2017 10:00","BZN|NL","11089.00","12591.76"
"01/01/2017 10:00 - 01/01/2017 10:15","BZN|NL","11314.00","12709.70"
"01/01/2017 10:15 - 01/01/2017 10:30","BZN|NL","11479.00","12882.07"
"01/01/2017 10:30 - 01/01/2017 10:45","BZN|NL","11630.00","13017.61"
"01/01/2017 10:45 - 01/01/2017 11:00","BZN|NL","11796.00","13121.91"
"01/01/2017 11:00 - 01/01/2017 11:15","BZN|NL","11958.00","13151.44"
"01/01/2017 11:15 - 01/01/2017 11:30","BZN|NL","12087.00","13213.26"
"01/01/2017 11:30 - 01/01/2017 11:45","BZN|NL","12199.00","13275.87"
"01/01/2017 11:45 - 01/01/2017 12:00","BZN|NL","12299.00","13320.93"
"01/01/2017 12:00 - 01/01/2017 12:15","BZN|NL","12436.00","13406.52"
