"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2015 16:00 - 01/01/2015 16:15","BZN|NL","11937.55","14066.89"
"01/01/2015 16:15 - 01/01/2015 16:30","BZN|NL","11947.44","14237.08"
"01/01/2015 16:30 - 01/01/2015 16:45","BZN|NL","12115.24","14501.91"
"01/01/2015 16:45 - 01/01/2015 17:00","BZN|NL","12347.28","14921.21"
"01/01/2015 17:00 - 01/01/2015 17:15","BZN|NL","12498.98","15091.49"
"01/01/2015 17:15 - 01/01/2015 17:30","BZN|NL","12521.32","15221.31"
"01/01/2015 17:30 - 01/01/2015 17:45","BZN|NL","12790.81","15258.40"
"01/01/2015 17:45 - 01/01/2015 18:00","BZN|NL","12921.34","15209.54"
"01/01/2015 18:00 - 01/01/2015 18:15","BZN|NL","12739.36","14952.24"
"01/01/2015 18:15 - 01/01/2015 18:30","BZN|NL","12326.26","14777.14"
"01/01/2015 18:30 - 01/01/2015 18:45","BZN|NL","12154.77","14648.41"
"01/01/2015 18:45 - 01/01/2015 19:00","BZN|NL","11977.17","14544.25"
"01/01/2015 19:00 - 01/01/2015 19:15","BZN|NL","11878.78","14385.94"
"01/01/2015 19:15 - 01/01/2015 19:30","BZN|NL","11752.85","14253.24"
"01/01/2015 19:30 - 01/01/2015 19:45","BZN|NL","11674.82","14112.56"
"01/01/2015 19:45 - 01/01/2015 20:00","BZN|NL","11559.20","14027.81"
"01/01/2015 20:00 - 01/01/2015 20:15","BZN|NL","11516.85","13815.79"
"01/01/2015 20:15 - 01/01/2015 20:30","BZN|NL","11443.82","13633.07"
"01/01/2015 20:30 - 01/01/2015 20:45","BZN|NL","11347.18","13426.48"
"01/01/2015 20:45 - 01/01/2015 21:00","BZN|NL","11151.02","13259.85"
"01/01/2015 21:00 - 01/01/2015 21:15","BZN|NL","11056.57","13005.49"
"01/01/2015 21:15 - 01/01/2015 21:30","BZN|NL","11018.12","12762.57"
"01/01/2015 21:30 - 01/01/2015 21:45","BZN|NL","10797.83","12537.96"
"01/01/2015 21:45 - 01/01/2015 22:00","BZN|NL","10640.30","12337.15"
"01/01/2015 22:00 - 01/01/2015 22:15","BZN|NL","10622.76","12048.83"
"01/01/2015 22:15 - 01/01/2015 22:30","BZN|NL","10663.81","11825.55"
"01/01/2015 22:30 - 01/01/2015 22:45","BZN|NL","10589.32","11561.99"
"01/01/2015 22:45 - 01/01/2015 23:00","BZN|NL","10377.87","11303.05"
"01/01/2015 23:00 - 01/01/2015 23:15","BZN|NL","10170.45","11082.17"
"01/01/2015 23:15 - 01/01/2015 23:30","BZN|NL","10001.60","10852.45"
"01/01/2015 23:30 - 01/01/2015 23:45","BZN|NL","9704.64","10566.68"
"01/01/2015 23:45 - 02/01/2015 00:00","BZN|NL","9417.51","10304.87"
"02/01/2015 00:00 - 02/01/2015 00:15","BZN|NL","9253.15","10017.55"
"02/01/2015 00:15 - 02/01/2015 00:30","BZN|NL","9107.69","9817.77"
"02/01/2015 00:30 - 02/01/2015 00:45","BZN|NL","8889.24","9589.49"
"02/01/2015 00:45 - 02/01/2015 01:00","BZN|NL","8731.41","9379.17"
"02/01/2015 01:00 - 02/01/2015 01:15","BZN|NL","8517.17","9196.94"
"02/01/2015 01:15 - 02/01/2015 01:30","BZN|NL","8350.80","9057.04"
"02/01/2015 01:30 - 02/01/2015 01:45","BZN|NL","8208.26","8928.89"
"02/01/2015 01:45 - 02/01/2015 02:00","BZN|NL","8135.32","8813.82"
"02/01/2015 02:00 - 02/01/2015 02:15","BZN|NL","8051.61","8726.17"
"02/01/2015 02:15 - 02/01/2015 02:30","BZN|NL","7900.17","8650.53"
"02/01/2015 02:30 - 02/01/2015 02:45","BZN|NL","7801.34","8591.19"
"02/01/2015 02:45 - 02/01/2015 03:00","BZN|NL","7751.24","8543.86"
"02/01/2015 03:00 - 02/01/2015 03:15","BZN|NL","7712.73","8526.32"
"02/01/2015 03:15 - 02/01/2015 03:30","BZN|NL","7716.60","8493.03"
"02/01/2015 03:30 - 02/01/2015 03:45","BZN|NL","7698.03","8454.95"
"02/01/2015 03:45 - 02/01/2015 04:00","BZN|NL","7673.06","8430.55"
"02/01/2015 04:00 - 02/01/2015 04:15","BZN|NL","7647.92","8450.75"
"02/01/2015 04:15 - 02/01/2015 04:30","BZN|NL","7728.27","8470.17"
"02/01/2015 04:30 - 02/01/2015 04:45","BZN|NL","7844.86","8511.37"
"02/01/2015 04:45 - 02/01/2015 05:00","BZN|NL","7864.55","8563.37"
"02/01/2015 05:00 - 02/01/2015 05:15","BZN|NL","7961.22","8664.68"
"02/01/2015 05:15 - 02/01/2015 05:30","BZN|NL","8169.79","8767.69"
"02/01/2015 05:30 - 02/01/2015 05:45","BZN|NL","8398.30","8918.86"
