model,variable,coefficient,p_value,ci_low,ci_high
Pairwise OLS: total_load ~ cloud_cover,const,11784.52007757201,0.0,11748.327447993166,11820.712707150853
Pairwise OLS: total_load ~ cloud_cover,cloud_cover,581.5645367976413,3.451942800960379e-120,532.735074461589,630.3939991336936
