"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2025 00:00:00 - 01/01/2025 00:15:00","BZN|NL","4996.00","4996.00"," ","2420.62"
"01/01/2025 00:15:00 - 01/01/2025 00:30:00","BZN|NL","5003.00","5003.00"," ","2356.31"
"01/01/2025 00:30:00 - 01/01/2025 00:45:00","BZN|NL","5014.00","5014.00"," ","2290.36"
"01/01/2025 00:45:00 - 01/01/2025 01:00:00","BZN|NL","5023.00","5023.00"," ","2278.82"
"01/01/2025 01:00:00 - 01/01/2025 01:15:00","BZN|NL","5034.00","5034.00"," ","2247.28"
"01/01/2025 01:15:00 - 01/01/2025 01:30:00","BZN|NL","5041.00","5041.00"," ","2248.29"
"01/01/2025 01:30:00 - 01/01/2025 01:45:00","BZN|NL","5046.00","5046.00"," ","2276.79"
"01/01/2025 01:45:00 - 01/01/2025 02:00:00","BZN|NL","5051.00","5051.00"," ","2224.66"
"01/01/2025 02:00:00 - 01/01/2025 02:15:00","BZN|NL","5059.00","5059.00"," ","2296.99"
"01/01/2025 02:15:00 - 01/01/2025 02:30:00","BZN|NL","5063.00","5063.00"," ","2306.49"
"01/01/2025 02:30:00 - 01/01/2025 02:45:00","BZN|NL","5069.00","5069.00"," ","2296.64"
"01/01/2025 02:45:00 - 01/01/2025 03:00:00","BZN|NL","5074.00","5074.00"," ","2293.63"
"01/01/2025 03:00:00 - 01/01/2025 03:15:00","BZN|NL","5080.00","5080.00"," ","2288.42"
"01/01/2025 03:15:00 - 01/01/2025 03:30:00","BZN|NL","5084.00","5084.00"," ","2274.24"
"01/01/2025 03:30:00 - 01/01/2025 03:45:00","BZN|NL","5089.00","5089.00"," ","2241.32"
"01/01/2025 03:45:00 - 01/01/2025 04:00:00","BZN|NL","5092.00","5092.00"," ","2265.22"
"01/01/2025 04:00:00 - 01/01/2025 04:15:00","BZN|NL","5097.00","5097.00"," ","2207.45"
"01/01/2025 04:15:00 - 01/01/2025 04:30:00","BZN|NL","5095.00","5095.00"," ","2284.60"
"01/01/2025 04:30:00 - 01/01/2025 04:45:00","BZN|NL","5090.00","5090.00"," ","2332.76"
"01/01/2025 04:45:00 - 01/01/2025 05:00:00","BZN|NL","5085.00","5085.00"," ","2314.32"
"01/01/2025 05:00:00 - 01/01/2025 05:15:00","BZN|NL","5080.00","5080.00"," ","2272.76"
"01/01/2025 05:15:00 - 01/01/2025 05:30:00","BZN|NL","5013.00","5013.00"," ","2306.77"
"01/01/2025 05:30:00 - 01/01/2025 05:45:00","BZN|NL","4883.00","4883.00"," ","2314.82"
"01/01/2025 05:45:00 - 01/01/2025 06:00:00","BZN|NL","4753.00","4753.00"," ","2325.67"
"01/01/2025 06:00:00 - 01/01/2025 06:15:00","BZN|NL","4622.00","4622.00"," ","2318.75"
"01/01/2025 06:15:00 - 01/01/2025 06:30:00","BZN|NL","4555.00","4555.00"," ","2297.48"
"01/01/2025 06:30:00 - 01/01/2025 06:45:00","BZN|NL","4551.00","4551.00"," ","2325.79"
"01/01/2025 06:45:00 - 01/01/2025 07:00:00","BZN|NL","4546.00","4546.00"," ","2296.91"
"01/01/2025 07:00:00 - 01/01/2025 07:15:00","BZN|NL","4542.00","4542.00"," ","2231.16"
"01/01/2025 07:15:00 - 01/01/2025 07:30:00","BZN|NL","4538.00","4538.00"," ","2238.38"
"01/01/2025 07:30:00 - 01/01/2025 07:45:00","BZN|NL","4537.00","4537.00"," ","2262.60"
"01/01/2025 07:45:00 - 01/01/2025 08:00:00","BZN|NL","4536.00","4536.00"," ","2265.51"
"01/01/2025 08:00:00 - 01/01/2025 08:15:00","BZN|NL","4534.00","4534.00"," ","2161.22"
"01/01/2025 08:15:00 - 01/01/2025 08:30:00","BZN|NL","4534.00","4534.00"," ","2217.71"
"01/01/2025 08:30:00 - 01/01/2025 08:45:00","BZN|NL","4532.00","4532.00"," ","2251.56"
"01/01/2025 08:45:00 - 01/01/2025 09:00:00","BZN|NL","4533.00","4533.00"," ","2245.47"
"01/01/2025 09:00:00 - 01/01/2025 09:15:00","BZN|NL","4530.00","4530.00"," ","2257.70"
"01/01/2025 09:15:00 - 01/01/2025 09:30:00","BZN|NL","4533.00","4533.00"," ","2148.38"
"01/01/2025 09:30:00 - 01/01/2025 09:45:00","BZN|NL","4536.00","4536.00"," ","2147.83"
"01/01/2025 09:45:00 - 01/01/2025 10:00:00","BZN|NL","4539.00","4539.00"," ","2211.19"
"01/01/2025 10:00:00 - 01/01/2025 10:15:00","BZN|NL","4540.00","4540.00"," ","2134.37"
"01/01/2025 10:15:00 - 01/01/2025 10:30:00","BZN|NL","4546.00","4546.00"," ","2125.13"
"01/01/2025 10:30:00 - 01/01/2025 10:45:00","BZN|NL","4554.00","4554.00"," ","2128.66"
"01/01/2025 10:45:00 - 01/01/2025 11:00:00","BZN|NL","4560.00","4560.00"," ","2081.66"
"01/01/2025 11:00:00 - 01/01/2025 11:15:00","BZN|NL","4567.00","4567.00"," ","2027.84"
"01/01/2025 11:15:00 - 01/01/2025 11:30:00","BZN|NL","4574.00","4574.00"," ","1920.11"
"01/01/2025 11:30:00 - 01/01/2025 11:45:00","BZN|NL","4578.00","4578.00"," ","1964.47"
"01/01/2025 11:45:00 - 01/01/2025 12:00:00","BZN|NL","4582.00","4582.00"," ","1999.72"
"01/01/2025 12:00:00 - 01/01/2025 12:15:00","BZN|NL","4586.00","4586.00"," ","1965.34"
"01/01/2025 12:15:00 - 01/01/2025 12:30:00","BZN|NL","4588.00","4588.00"," ","1984.09"
"01/01/2025 12:30:00 - 01/01/2025 12:45:00","BZN|NL","4589.00","4589.00"," ","1976.99"
"01/01/2025 12:45:00 - 01/01/2025 13:00:00","BZN|NL","4590.00","4590.00"," ","1981.88"
"01/01/2025 13:00:00 - 01/01/2025 13:15:00","BZN|NL","4591.00","4591.00"," ","2001.57"
"01/01/2025 13:15:00 - 01/01/2025 13:30:00","BZN|NL","4589.00","4589.00"," ","2003.74"
"01/01/2025 13:30:00 - 01/01/2025 13:45:00","BZN|NL","4583.00","4583.00"," ","2006.49"
"01/01/2025 13:45:00 - 01/01/2025 14:00:00","BZN|NL","4575.00","4575.00"," ","1999.35"
"01/01/2025 14:00:00 - 01/01/2025 14:15:00","BZN|NL","4567.00","4567.00"," ","1958.72"
"01/01/2025 14:15:00 - 01/01/2025 14:30:00","BZN|NL","4564.00","4564.00"," ","1965.60"
