"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2016 00:00:00 - 01/01/2016 00:15:00","BZN|NL","1255.00","N/A"," ","235.58"
"01/01/2016 00:15:00 - 01/01/2016 00:30:00","BZN|NL","1250.00","N/A"," ","238.22"
"01/01/2016 00:30:00 - 01/01/2016 00:45:00","BZN|NL","1235.00","N/A"," ","238.48"
"01/01/2016 00:45:00 - 01/01/2016 01:00:00","BZN|NL","1219.00","N/A"," ","230.55"
"01/01/2016 01:00:00 - 01/01/2016 01:15:00","BZN|NL","1094.00","N/A"," ","228.80"
"01/01/2016 01:15:00 - 01/01/2016 01:30:00","BZN|NL","1057.00","N/A"," ","220.47"
"01/01/2016 01:30:00 - 01/01/2016 01:45:00","BZN|NL","1031.00","N/A"," ","211.68"
"01/01/2016 01:45:00 - 01/01/2016 02:00:00","BZN|NL","1003.00","N/A"," ","194.82"
"01/01/2016 02:00:00 - 01/01/2016 02:15:00","BZN|NL","975.00","N/A"," ","183.33"
"01/01/2016 02:15:00 - 01/01/2016 02:30:00","BZN|NL","946.00","N/A"," ","172.88"
"01/01/2016 02:30:00 - 01/01/2016 02:45:00","BZN|NL","919.00","N/A"," ","163.75"
"01/01/2016 02:45:00 - 01/01/2016 03:00:00","BZN|NL","891.00","N/A"," ","155.78"
"01/01/2016 03:00:00 - 01/01/2016 03:15:00","BZN|NL","862.00","N/A"," ","157.98"
"01/01/2016 03:15:00 - 01/01/2016 03:30:00","BZN|NL","826.00","N/A"," ","161.66"
"01/01/2016 03:30:00 - 01/01/2016 03:45:00","BZN|NL","781.00","N/A"," ","167.22"
"01/01/2016 03:45:00 - 01/01/2016 04:00:00","BZN|NL","735.00","N/A"," ","184.84"
"01/01/2016 04:00:00 - 01/01/2016 04:15:00","BZN|NL","690.00","N/A"," ","182.15"
"01/01/2016 04:15:00 - 01/01/2016 04:30:00","BZN|NL","645.00","N/A"," ","189.69"
"01/01/2016 04:30:00 - 01/01/2016 04:45:00","BZN|NL","599.00","N/A"," ","178.48"
"01/01/2016 04:45:00 - 01/01/2016 05:00:00","BZN|NL","557.00","N/A"," ","161.05"
"01/01/2016 05:00:00 - 01/01/2016 05:15:00","BZN|NL","511.00","N/A"," ","154.53"
"01/01/2016 05:15:00 - 01/01/2016 05:30:00","BZN|NL","470.00","N/A"," ","135.76"
"01/01/2016 05:30:00 - 01/01/2016 05:45:00","BZN|NL","434.00","N/A"," ","121.67"
"01/01/2016 05:45:00 - 01/01/2016 06:00:00","BZN|NL","395.00","N/A"," ","90.60"
"01/01/2016 06:00:00 - 01/01/2016 06:15:00","BZN|NL","358.00","N/A"," ","82.61"
"01/01/2016 06:15:00 - 01/01/2016 06:30:00","BZN|NL","317.00","N/A"," ","69.69"
"01/01/2016 06:30:00 - 01/01/2016 06:45:00","BZN|NL","271.00","N/A"," ","56.75"
"01/01/2016 06:45:00 - 01/01/2016 07:00:00","BZN|NL","228.00","N/A"," ","48.84"
"01/01/2016 07:00:00 - 01/01/2016 07:15:00","BZN|NL","184.00","N/A"," ","46.21"
"01/01/2016 07:15:00 - 01/01/2016 07:30:00","BZN|NL","158.00","N/A"," ","53.09"
"01/01/2016 07:30:00 - 01/01/2016 07:45:00","BZN|NL","154.00","N/A"," ","45.79"
"01/01/2016 07:45:00 - 01/01/2016 08:00:00","BZN|NL","148.00","N/A"," ","39.64"
"01/01/2016 08:00:00 - 01/01/2016 08:15:00","BZN|NL","140.00","N/A"," ","31.60"
"01/01/2016 08:15:00 - 01/01/2016 08:30:00","BZN|NL","134.00","N/A"," ","27.09"
"01/01/2016 08:30:00 - 01/01/2016 08:45:00","BZN|NL","127.00","N/A"," ","22.06"
"01/01/2016 08:45:00 - 01/01/2016 09:00:00","BZN|NL","122.00","N/A"," ","14.37"
"01/01/2016 09:00:00 - 01/01/2016 09:15:00","BZN|NL","117.00","N/A"," ","9.24"
"01/01/2016 09:15:00 - 01/01/2016 09:30:00","BZN|NL","110.00","N/A"," ","9.95"
"01/01/2016 09:30:00 - 01/01/2016 09:45:00","BZN|NL","100.00","N/A"," ","8.79"
"01/01/2016 09:45:00 - 01/01/2016 10:00:00","BZN|NL","89.00","N/A"," ","8.15"
"01/01/2016 10:00:00 - 01/01/2016 10:15:00","BZN|NL","82.00","N/A"," ","8.00"
"01/01/2016 10:15:00 - 01/01/2016 10:30:00","BZN|NL","71.00","N/A"," ","5.76"
"01/01/2016 10:30:00 - 01/01/2016 10:45:00","BZN|NL","62.00","N/A"," ","4.54"
"01/01/2016 10:45:00 - 01/01/2016 11:00:00","BZN|NL","51.00","N/A"," ","3.86"
"01/01/2016 11:00:00 - 01/01/2016 11:15:00","BZN|NL","40.00","N/A"," ","3.18"
"01/01/2016 11:15:00 - 01/01/2016 11:30:00","BZN|NL","33.00","N/A"," ","3.53"
"01/01/2016 11:30:00 - 01/01/2016 11:45:00","BZN|NL","31.00","N/A"," ","2.44"
"01/01/2016 11:45:00 - 01/01/2016 12:00:00","BZN|NL","28.00","N/A"," ","2.20"
"01/01/2016 12:00:00 - 01/01/2016 12:15:00","BZN|NL","23.00","N/A"," ","2.60"
"01/01/2016 12:15:00 - 01/01/2016 12:30:00","BZN|NL","23.00","N/A"," ","1.66"
"01/01/2016 12:30:00 - 01/01/2016 12:45:00","BZN|NL","24.00","N/A"," ","1.11"
"01/01/2016 12:45:00 - 01/01/2016 13:00:00","BZN|NL","27.00","N/A"," ","0.93"
"01/01/2016 13:00:00 - 01/01/2016 13:15:00","BZN|NL","31.00","N/A"," ","0.72"
"01/01/2016 13:15:00 - 01/01/2016 13:30:00","BZN|NL","36.00","N/A"," ","0.66"
"01/01/2016 13:30:00 - 01/01/2016 13:45:00","BZN|NL","51.00","N/A"," ","0.18"
"01/01/2016 13:45:00 - 01/01/2016 14:00:00","BZN|NL","62.00","N/A"," ","0.42"
"01/01/2016 14:00:00 - 01/01/2016 14:15:00","BZN|NL","74.00","N/A"," ","1.20"
"01/01/2016 14:15:00 - 01/01/2016 14:30:00","BZN|NL","93.00","N/A"," ","3.15"
"01/01/2016 14:30:00 - 01/01/2016 14:45:00","BZN|NL","117.00","N/A"," ","9.18"
"01/01/2016 14:45:00 - 01/01/2016 15:00:00","BZN|NL","143.00","N/A"," ","13.96"
"01/01/2016 15:00:00 - 01/01/2016 15:15:00","BZN|NL","169.00","N/A"," ","17.63"
"01/01/2016 15:15:00 - 01/01/2016 15:30:00","BZN|NL","193.00","N/A"," ","24.91"
"01/01/2016 15:30:00 - 01/01/2016 15:45:00","BZN|NL","220.00","N/A"," ","28.85"
"01/01/2016 15:45:00 - 01/01/2016 16:00:00","BZN|NL","247.00","N/A"," ","27.58"
"01/01/2016 16:00:00 - 01/01/2016 16:15:00","BZN|NL","274.00","N/A"," ","29.14"
"01/01/2016 16:15:00 - 01/01/2016 16:30:00","BZN|NL","294.00","N/A"," ","40.80"
"01/01/2016 16:30:00 - 01/01/2016 16:45:00","BZN|NL","308.00","N/A"," ","47.24"
"01/01/2016 16:45:00 - 01/01/2016 17:00:00","BZN|NL","321.00","N/A"," ","58.67"
"01/01/2016 17:00:00 - 01/01/2016 17:15:00","BZN|NL","333.00","N/A"," ","54.38"
"01/01/2016 17:15:00 - 01/01/2016 17:30:00","BZN|NL","350.00","N/A"," ","49.10"
"01/01/2016 17:30:00 - 01/01/2016 17:45:00","BZN|NL","369.00","N/A"," ","49.51"
"01/01/2016 17:45:00 - 01/01/2016 18:00:00","BZN|NL","385.00","N/A"," ","47.89"
"01/01/2016 18:00:00 - 01/01/2016 18:15:00","BZN|NL","404.00","N/A"," ","44.38"
"01/01/2016 18:15:00 - 01/01/2016 18:30:00","BZN|NL","424.00","N/A"," ","48.57"
"01/01/2016 18:30:00 - 01/01/2016 18:45:00","BZN|NL","443.00","N/A"," ","56.03"
"01/01/2016 18:45:00 - 01/01/2016 19:00:00","BZN|NL","465.00","N/A"," ","68.43"
"01/01/2016 19:00:00 - 01/01/2016 19:15:00","BZN|NL","485.00","N/A"," ","78.66"
"01/01/2016 19:15:00 - 01/01/2016 19:30:00","BZN|NL","509.00","N/A"," ","87.53"
"01/01/2016 19:30:00 - 01/01/2016 19:45:00","BZN|NL","531.00","N/A"," ","94.38"
"01/01/2016 19:45:00 - 01/01/2016 20:00:00","BZN|NL","553.00","N/A"," ","108.66"
"01/01/2016 20:00:00 - 01/01/2016 20:15:00","BZN|NL","576.00","N/A"," ","117.53"
"01/01/2016 20:15:00 - 01/01/2016 20:30:00","BZN|NL","600.00","N/A"," ","133.29"
"01/01/2016 20:30:00 - 01/01/2016 20:45:00","BZN|NL","623.00","N/A"," ","132.57"
"01/01/2016 20:45:00 - 01/01/2016 21:00:00","BZN|NL","646.00","N/A"," ","124.32"
"01/01/2016 21:00:00 - 01/01/2016 21:15:00","BZN|NL","669.00","N/A"," ","122.78"
"01/01/2016 21:15:00 - 01/01/2016 21:30:00","BZN|NL","698.00","N/A"," ","123.92"
"01/01/2016 21:30:00 - 01/01/2016 21:45:00","BZN|NL","732.00","N/A"," ","119.28"
"01/01/2016 21:45:00 - 01/01/2016 22:00:00","BZN|NL","768.00","N/A"," ","114.62"
"01/01/2016 22:00:00 - 01/01/2016 22:15:00","BZN|NL","802.00","N/A"," ","118.44"
"01/01/2016 22:15:00 - 01/01/2016 22:30:00","BZN|NL","835.00","N/A"," ","108.38"
"01/01/2016 22:30:00 - 01/01/2016 22:45:00","BZN|NL","862.00","N/A"," ","115.84"
"01/01/2016 22:45:00 - 01/01/2016 23:00:00","BZN|NL","891.00","N/A"," ","137.77"
"01/01/2016 23:00:00 - 01/01/2016 23:15:00","BZN|NL","920.00","N/A"," ","135.49"
"01/01/2016 23:15:00 - 01/01/2016 23:30:00","BZN|NL","945.00","N/A"," ","154.09"
"01/01/2016 23:30:00 - 01/01/2016 23:45:00","BZN|NL","975.00","N/A"," ","143.27"
"01/01/2016 23:45:00 - 02/01/2016 00:00:00","BZN|NL","1001.00","N/A"," ","128.31"
"02/01/2016 00:00:00 - 02/01/2016 00:15:00","BZN|NL","1026.00","N/A"," ","145.79"
"02/01/2016 00:15:00 - 02/01/2016 00:30:00","BZN|NL","1049.00","N/A"," ","133.16"
"02/01/2016 00:30:00 - 02/01/2016 00:45:00","BZN|NL","1070.00","N/A"," ","174.43"
"02/01/2016 00:45:00 - 02/01/2016 01:00:00","BZN|NL","1088.00","N/A"," ","155.70"
"02/01/2016 01:00:00 - 02/01/2016 01:15:00","BZN|NL","1139.00","N/A"," ","164.99"
"02/01/2016 01:15:00 - 02/01/2016 01:30:00","BZN|NL","1158.00","N/A"," ","160.27"
