"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2015 00:00:00 - 01/01/2015 00:15:00","BZN|NL","334.00","N/A"," ","173.68"
"01/01/2015 00:15:00 - 01/01/2015 00:30:00","BZN|NL","343.00","N/A"," ","173.78"
"01/01/2015 00:30:00 - 01/01/2015 00:45:00","BZN|NL","351.00","N/A"," ","156.75"
"01/01/2015 00:45:00 - 01/01/2015 01:00:00","BZN|NL","360.00","N/A"," ","150.59"
"01/01/2015 01:00:00 - 01/01/2015 01:15:00","BZN|NL","369.00","N/A"," ","146.13"
"01/01/2015 01:15:00 - 01/01/2015 01:30:00","BZN|NL","375.00","N/A"," ","144.56"
"01/01/2015 01:30:00 - 01/01/2015 01:45:00","BZN|NL","382.00","N/A"," ","155.19"
"01/01/2015 01:45:00 - 01/01/2015 02:00:00","BZN|NL","388.00","N/A"," ","154.24"
"01/01/2015 02:00:00 - 01/01/2015 02:15:00","BZN|NL","395.00","N/A"," ","154.64"
"01/01/2015 02:15:00 - 01/01/2015 02:30:00","BZN|NL","401.00","N/A"," ","156.03"
"01/01/2015 02:30:00 - 01/01/2015 02:45:00","BZN|NL","408.00","N/A"," ","162.80"
"01/01/2015 02:45:00 - 01/01/2015 03:00:00","BZN|NL","415.00","N/A"," ","169.36"
"01/01/2015 03:00:00 - 01/01/2015 03:15:00","BZN|NL","421.00","N/A"," ","169.18"
"01/01/2015 03:15:00 - 01/01/2015 03:30:00","BZN|NL","428.00","N/A"," ","164.35"
"01/01/2015 03:30:00 - 01/01/2015 03:45:00","BZN|NL","435.00","N/A"," ","169.53"
"01/01/2015 03:45:00 - 01/01/2015 04:00:00","BZN|NL","442.00","N/A"," ","168.60"
"01/01/2015 04:00:00 - 01/01/2015 04:15:00","BZN|NL","449.00","N/A"," ","172.76"
"01/01/2015 04:15:00 - 01/01/2015 04:30:00","BZN|NL","455.00","N/A"," ","168.48"
"01/01/2015 04:30:00 - 01/01/2015 04:45:00","BZN|NL","462.00","N/A"," ","161.27"
"01/01/2015 04:45:00 - 01/01/2015 05:00:00","BZN|NL","469.00","N/A"," ","163.02"
"01/01/2015 05:00:00 - 01/01/2015 05:15:00","BZN|NL","475.00","N/A"," ","168.43"
"01/01/2015 05:15:00 - 01/01/2015 05:30:00","BZN|NL","482.00","N/A"," ","174.66"
"01/01/2015 05:30:00 - 01/01/2015 05:45:00","BZN|NL","489.00","N/A"," ","184.88"
"01/01/2015 05:45:00 - 01/01/2015 06:00:00","BZN|NL","496.00","N/A"," ","189.75"
"01/01/2015 06:00:00 - 01/01/2015 06:15:00","BZN|NL","503.00","N/A"," ","180.38"
"01/01/2015 06:15:00 - 01/01/2015 06:30:00","BZN|NL","511.00","N/A"," ","195.42"
"01/01/2015 06:30:00 - 01/01/2015 06:45:00","BZN|NL","520.00","N/A"," ","217.21"
"01/01/2015 06:45:00 - 01/01/2015 07:00:00","BZN|NL","528.00","N/A"," ","228.11"
"01/01/2015 07:00:00 - 01/01/2015 07:15:00","BZN|NL","536.00","N/A"," ","220.51"
"01/01/2015 07:15:00 - 01/01/2015 07:30:00","BZN|NL","546.00","N/A"," ","216.37"
"01/01/2015 07:30:00 - 01/01/2015 07:45:00","BZN|NL","556.00","N/A"," ","189.60"
"01/01/2015 07:45:00 - 01/01/2015 08:00:00","BZN|NL","566.00","N/A"," ","177.93"
"01/01/2015 08:00:00 - 01/01/2015 08:15:00","BZN|NL","576.00","N/A"," ","171.59"
"01/01/2015 08:15:00 - 01/01/2015 08:30:00","BZN|NL","587.00","N/A"," ","171.69"
"01/01/2015 08:30:00 - 01/01/2015 08:45:00","BZN|NL","598.00","N/A"," ","163.78"
"01/01/2015 08:45:00 - 01/01/2015 09:00:00","BZN|NL","608.00","N/A"," ","154.69"
"01/01/2015 09:00:00 - 01/01/2015 09:15:00","BZN|NL","619.00","N/A"," ","154.84"
"01/01/2015 09:15:00 - 01/01/2015 09:30:00","BZN|NL","630.00","N/A"," ","170.16"
"01/01/2015 09:30:00 - 01/01/2015 09:45:00","BZN|NL","641.00","N/A"," ","176.68"
"01/01/2015 09:45:00 - 01/01/2015 10:00:00","BZN|NL","652.00","N/A"," ","185.73"
"01/01/2015 10:00:00 - 01/01/2015 10:15:00","BZN|NL","663.00","N/A"," ","179.11"
"01/01/2015 10:15:00 - 01/01/2015 10:30:00","BZN|NL","657.00","N/A"," ","180.18"
"01/01/2015 10:30:00 - 01/01/2015 10:45:00","BZN|NL","651.00","N/A"," ","178.07"
"01/01/2015 10:45:00 - 01/01/2015 11:00:00","BZN|NL","645.00","N/A"," ","189.10"
"01/01/2015 11:00:00 - 01/01/2015 11:15:00","BZN|NL","639.00","N/A"," ","195.74"
"01/01/2015 11:15:00 - 01/01/2015 11:30:00","BZN|NL","633.00","N/A"," ","198.36"
"01/01/2015 11:30:00 - 01/01/2015 11:45:00","BZN|NL","628.00","N/A"," ","194.54"
"01/01/2015 11:45:00 - 01/01/2015 12:00:00","BZN|NL","622.00","N/A"," ","185.79"
"01/01/2015 12:00:00 - 01/01/2015 12:15:00","BZN|NL","616.00","N/A"," ","182.16"
"01/01/2015 12:15:00 - 01/01/2015 12:30:00","BZN|NL","609.00","N/A"," ","183.82"
"01/01/2015 12:30:00 - 01/01/2015 12:45:00","BZN|NL","602.00","N/A"," ","178.42"
"01/01/2015 12:45:00 - 01/01/2015 13:00:00","BZN|NL","595.00","N/A"," ","177.80"
"01/01/2015 13:00:00 - 01/01/2015 13:15:00","BZN|NL","588.00","N/A"," ","168.94"
"01/01/2015 13:15:00 - 01/01/2015 13:30:00","BZN|NL","598.00","N/A"," ","179.83"
"01/01/2015 13:30:00 - 01/01/2015 13:45:00","BZN|NL","609.00","N/A"," ","176.46"
"01/01/2015 13:45:00 - 01/01/2015 14:00:00","BZN|NL","619.00","N/A"," ","172.80"
"01/01/2015 14:00:00 - 01/01/2015 14:15:00","BZN|NL","629.00","N/A"," ","173.82"
"01/01/2015 14:15:00 - 01/01/2015 14:30:00","BZN|NL","642.00","N/A"," ","174.78"
