"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2021 13:00:00 - 01/01/2021 13:15:00","BZN|NL","177.00","177.00"," ","253.04"
"01/01/2021 13:15:00 - 01/01/2021 13:30:00","BZN|NL","184.00","184.00"," ","254.58"
"01/01/2021 13:30:00 - 01/01/2021 13:45:00","BZN|NL","190.00","190.00"," ","231.32"
"01/01/2021 13:45:00 - 01/01/2021 14:00:00","BZN|NL","196.00","196.00"," ","234.31"
"01/01/2021 14:00:00 - 01/01/2021 14:15:00","BZN|NL","203.00","203.00"," ","238.81"
"01/01/2021 14:15:00 - 01/01/2021 14:30:00","BZN|NL","211.00","211.00"," ","236.14"
"01/01/2021 14:30:00 - 01/01/2021 14:45:00","BZN|NL","221.00","221.00"," ","231.23"
"01/01/2021 14:45:00 - 01/01/2021 15:00:00","BZN|NL","232.00","232.00"," ","248.25"
"01/01/2021 15:00:00 - 01/01/2021 15:15:00","BZN|NL","241.00","241.00"," ","243.86"
"01/01/2021 15:15:00 - 01/01/2021 15:30:00","BZN|NL","254.00","254.00"," ","239.19"
"01/01/2021 15:30:00 - 01/01/2021 15:45:00","BZN|NL","267.00","267.00"," ","244.15"
"01/01/2021 15:45:00 - 01/01/2021 16:00:00","BZN|NL","280.00","280.00"," ","244.18"
"01/01/2021 16:00:00 - 01/01/2021 16:15:00","BZN|NL","295.00","295.00"," ","263.26"
"01/01/2021 16:15:00 - 01/01/2021 16:30:00","BZN|NL","308.00","308.00"," ","273.58"
"01/01/2021 16:30:00 - 01/01/2021 16:45:00","BZN|NL","321.00","321.00"," ","281.42"
"01/01/2021 16:45:00 - 01/01/2021 17:00:00","BZN|NL","332.00","332.00"," ","282.59"
"01/01/2021 17:00:00 - 01/01/2021 17:15:00","BZN|NL","344.00","344.00"," ","275.62"
"01/01/2021 17:15:00 - 01/01/2021 17:30:00","BZN|NL","357.00","357.00"," ","284.08"
"01/01/2021 17:30:00 - 01/01/2021 17:45:00","BZN|NL","373.00","373.00"," ","286.45"
"01/01/2021 17:45:00 - 01/01/2021 18:00:00","BZN|NL","388.00","388.00"," ","283.36"
"01/01/2021 18:00:00 - 01/01/2021 18:15:00","BZN|NL","401.00","401.00"," ","266.87"
"01/01/2021 18:15:00 - 01/01/2021 18:30:00","BZN|NL","416.00","416.00"," ","270.81"
"01/01/2021 18:30:00 - 01/01/2021 18:45:00","BZN|NL","423.00","423.00"," ","283.95"
"01/01/2021 18:45:00 - 01/01/2021 19:00:00","BZN|NL","430.00","430.00"," ","292.94"
"01/01/2021 19:00:00 - 01/01/2021 19:15:00","BZN|NL","436.00","436.00"," ","287.57"
"01/01/2021 19:15:00 - 01/01/2021 19:30:00","BZN|NL","439.00","439.00"," ","274.57"
"01/01/2021 19:30:00 - 01/01/2021 19:45:00","BZN|NL","437.00","437.00"," ","257.30"
"01/01/2021 19:45:00 - 01/01/2021 20:00:00","BZN|NL","438.00","438.00"," ","255.61"
"01/01/2021 20:00:00 - 01/01/2021 20:15:00","BZN|NL","435.00","435.00"," ","269.20"
"01/01/2021 20:15:00 - 01/01/2021 20:30:00","BZN|NL","437.00","437.00"," ","278.94"
"01/01/2021 20:30:00 - 01/01/2021 20:45:00","BZN|NL","436.00","436.00"," ","284.72"
"01/01/2021 20:45:00 - 01/01/2021 21:00:00","BZN|NL","438.00","438.00"," ","295.20"
"01/01/2021 21:00:00 - 01/01/2021 21:15:00","BZN|NL","439.00","439.00"," ","298.93"
"01/01/2021 21:15:00 - 01/01/2021 21:30:00","BZN|NL","441.00","441.00"," ","299.32"
"01/01/2021 21:30:00 - 01/01/2021 21:45:00","BZN|NL","438.00","438.00"," ","313.34"
"01/01/2021 21:45:00 - 01/01/2021 22:00:00","BZN|NL","440.00","440.00"," ","303.14"
"01/01/2021 22:00:00 - 01/01/2021 22:15:00","BZN|NL","439.00","439.00"," ","299.85"
"01/01/2021 22:15:00 - 01/01/2021 22:30:00","BZN|NL","439.00","439.00"," ","295.90"
"01/01/2021 22:30:00 - 01/01/2021 22:45:00","BZN|NL","438.00","438.00"," ","309.79"
"01/01/2021 22:45:00 - 01/01/2021 23:00:00","BZN|NL","437.00","437.00"," ","312.45"
"01/01/2021 23:00:00 - 01/01/2021 23:15:00","BZN|NL","436.00","436.00"," ","292.49"
"01/01/2021 23:15:00 - 01/01/2021 23:30:00","BZN|NL","432.00","432.00"," ","282.32"
"01/01/2021 23:30:00 - 01/01/2021 23:45:00","BZN|NL","430.00","430.00"," ","276.54"
"01/01/2021 23:45:00 - 02/01/2021 00:00:00","BZN|NL","425.00","425.00"," ","266.32"
"02/01/2021 00:00:00 - 02/01/2021 00:15:00","BZN|NL","344.00","344.00"," ","271.76"
"02/01/2021 00:15:00 - 02/01/2021 00:30:00","BZN|NL","341.00","341.00"," ","273.98"
"02/01/2021 00:30:00 - 02/01/2021 00:45:00","BZN|NL","341.00","341.00"," ","287.00"
"02/01/2021 00:45:00 - 02/01/2021 01:00:00","BZN|NL","340.00","340.00"," ","288.27"
"02/01/2021 01:00:00 - 02/01/2021 01:15:00","BZN|NL","340.00","340.00"," ","276.28"
"02/01/2021 01:15:00 - 02/01/2021 01:30:00","BZN|NL","337.00","337.00"," ","265.06"
"02/01/2021 01:30:00 - 02/01/2021 01:45:00","BZN|NL","329.00","329.00"," ","260.38"
"02/01/2021 01:45:00 - 02/01/2021 02:00:00","BZN|NL","322.00","322.00"," ","252.66"
"02/01/2021 02:00:00 - 02/01/2021 02:15:00","BZN|NL","314.00","314.00"," ","239.46"
"02/01/2021 02:15:00 - 02/01/2021 02:30:00","BZN|NL","310.00","310.00"," ","236.97"
"02/01/2021 02:30:00 - 02/01/2021 02:45:00","BZN|NL","310.00","310.00"," ","234.14"
"02/01/2021 02:45:00 - 02/01/2021 03:00:00","BZN|NL","311.00","311.00"," ","229.94"
"02/01/2021 03:00:00 - 02/01/2021 03:15:00","BZN|NL","309.00","309.00"," ","234.62"
"02/01/2021 03:15:00 - 02/01/2021 03:30:00","BZN|NL","302.00","302.00"," ","239.39"
"02/01/2021 03:30:00 - 02/01/2021 03:45:00","BZN|NL","287.00","287.00"," ","228.67"
"02/01/2021 03:45:00 - 02/01/2021 04:00:00","BZN|NL","272.00","272.00"," ","218.21"
"02/01/2021 04:00:00 - 02/01/2021 04:15:00","BZN|NL","257.00","257.00"," ","202.89"
"02/01/2021 04:15:00 - 02/01/2021 04:30:00","BZN|NL","238.00","238.00"," ","199.40"
"02/01/2021 04:30:00 - 02/01/2021 04:45:00","BZN|NL","215.00","215.00"," ","198.28"
"02/01/2021 04:45:00 - 02/01/2021 05:00:00","BZN|NL","194.00","194.00"," ","191.74"
"02/01/2021 05:00:00 - 02/01/2021 05:15:00","BZN|NL","171.00","171.00"," ","185.77"
"02/01/2021 05:15:00 - 02/01/2021 05:30:00","BZN|NL","154.00","154.00"," ","193.78"
"02/01/2021 05:30:00 - 02/01/2021 05:45:00","BZN|NL","142.00","142.00"," ","192.39"
"02/01/2021 05:45:00 - 02/01/2021 06:00:00","BZN|NL","133.00","133.00"," ","185.24"
"02/01/2021 06:00:00 - 02/01/2021 06:15:00","BZN|NL","121.00","121.00"," ","174.88"
"02/01/2021 06:15:00 - 02/01/2021 06:30:00","BZN|NL","114.00","114.00"," ","172.64"
"02/01/2021 06:30:00 - 02/01/2021 06:45:00","BZN|NL","111.00","111.00"," ","156.89"
"02/01/2021 06:45:00 - 02/01/2021 07:00:00","BZN|NL","109.00","109.00"," ","153.15"
"02/01/2021 07:00:00 - 02/01/2021 07:15:00","BZN|NL","109.00","109.00"," ","156.36"
"02/01/2021 07:15:00 - 02/01/2021 07:30:00","BZN|NL","107.00","107.00"," ","151.22"
"02/01/2021 07:30:00 - 02/01/2021 07:45:00","BZN|NL","106.00","106.00"," ","154.52"
"02/01/2021 07:45:00 - 02/01/2021 08:00:00","BZN|NL","104.00","104.00"," ","160.63"
"02/01/2021 08:00:00 - 02/01/2021 08:15:00","BZN|NL","104.00","104.00"," ","156.43"
"02/01/2021 08:15:00 - 02/01/2021 08:30:00","BZN|NL","108.00","108.00"," ","148.76"
"02/01/2021 08:30:00 - 02/01/2021 08:45:00","BZN|NL","113.00","113.00"," ","144.12"
"02/01/2021 08:45:00 - 02/01/2021 09:00:00","BZN|NL","120.00","120.00"," ","148.00"
"02/01/2021 09:00:00 - 02/01/2021 09:15:00","BZN|NL","126.00","126.00"," ","154.61"
"02/01/2021 09:15:00 - 02/01/2021 09:30:00","BZN|NL","128.00","128.00"," ","146.09"
"02/01/2021 09:30:00 - 02/01/2021 09:45:00","BZN|NL","129.00","129.00"," ","130.90"
"02/01/2021 09:45:00 - 02/01/2021 10:00:00","BZN|NL","129.00","129.00"," ","122.33"
"02/01/2021 10:00:00 - 02/01/2021 10:15:00","BZN|NL","129.00","129.00"," ","119.70"
"02/01/2021 10:15:00 - 02/01/2021 10:30:00","BZN|NL","126.00","126.00"," ","119.02"
"02/01/2021 10:30:00 - 02/01/2021 10:45:00","BZN|NL","118.00","118.00"," ","119.21"
