"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2024 00:00:00 - 01/01/2024 00:15:00","BZN|NL","4645.00","4645.00"," ","2396.65"
"01/01/2024 00:15:00 - 01/01/2024 00:30:00","BZN|NL","4631.00","4631.00"," ","2440.59"
"01/01/2024 00:30:00 - 01/01/2024 00:45:00","BZN|NL","4620.00","4620.00"," ","2432.99"
"01/01/2024 00:45:00 - 01/01/2024 01:00:00","BZN|NL","4608.00","4608.00"," ","2435.45"
"01/01/2024 01:00:00 - 01/01/2024 01:15:00","BZN|NL","4596.00","4596.00"," ","2427.05"
"01/01/2024 01:15:00 - 01/01/2024 01:30:00","BZN|NL","4582.00","4582.00"," ","2418.19"
"01/01/2024 01:30:00 - 01/01/2024 01:45:00","BZN|NL","4564.00","4564.00"," ","2333.92"
"01/01/2024 01:45:00 - 01/01/2024 02:00:00","BZN|NL","4547.00","4547.00"," ","2271.19"
"01/01/2024 02:00:00 - 01/01/2024 02:15:00","BZN|NL","4530.00","4530.00"," ","2238.23"
"01/01/2024 02:15:00 - 01/01/2024 02:30:00","BZN|NL","4515.00","4515.00"," ","2215.41"
"01/01/2024 02:30:00 - 01/01/2024 02:45:00","BZN|NL","4499.00","4499.00"," ","2160.69"
"01/01/2024 02:45:00 - 01/01/2024 03:00:00","BZN|NL","4486.00","4486.00"," ","2051.87"
"01/01/2024 03:00:00 - 01/01/2024 03:15:00","BZN|NL","4470.00","4470.00"," ","2019.32"
"01/01/2024 03:15:00 - 01/01/2024 03:30:00","BZN|NL","4451.00","4451.00"," ","2002.70"
"01/01/2024 03:30:00 - 01/01/2024 03:45:00","BZN|NL","4427.00","4427.00"," ","2095.45"
"01/01/2024 03:45:00 - 01/01/2024 04:00:00","BZN|NL","4407.00","4407.00"," ","2117.19"
"01/01/2024 04:00:00 - 01/01/2024 04:15:00","BZN|NL","4387.00","4387.00"," ","2087.39"
"01/01/2024 04:15:00 - 01/01/2024 04:30:00","BZN|NL","4356.00","4356.00"," ","2089.18"
"01/01/2024 04:30:00 - 01/01/2024 04:45:00","BZN|NL","4316.00","4316.00"," ","2055.42"
"01/01/2024 04:45:00 - 01/01/2024 05:00:00","BZN|NL","4276.00","4276.00"," ","2023.64"
"01/01/2024 05:00:00 - 01/01/2024 05:15:00","BZN|NL","4236.00","4236.00"," ","2056.83"
"01/01/2024 05:15:00 - 01/01/2024 05:30:00","BZN|NL","4215.00","4215.00"," ","1996.05"
"01/01/2024 05:30:00 - 01/01/2024 05:45:00","BZN|NL","4204.00","4204.00"," ","2043.57"
"01/01/2024 05:45:00 - 01/01/2024 06:00:00","BZN|NL","4193.00","4193.00"," ","2065.87"
"01/01/2024 06:00:00 - 01/01/2024 06:15:00","BZN|NL","4184.00","4184.00"," ","2064.99"
"01/01/2024 06:15:00 - 01/01/2024 06:30:00","BZN|NL","4172.00","4172.00"," ","2096.87"
"01/01/2024 06:30:00 - 01/01/2024 06:45:00","BZN|NL","4160.00","4160.00"," ","2149.27"
"01/01/2024 06:45:00 - 01/01/2024 07:00:00","BZN|NL","4147.00","4147.00"," ","2202.41"
"01/01/2024 07:00:00 - 01/01/2024 07:15:00","BZN|NL","4133.00","4133.00"," ","2139.12"
"01/01/2024 07:15:00 - 01/01/2024 07:30:00","BZN|NL","4113.00","4113.00"," ","2106.54"
"01/01/2024 07:30:00 - 01/01/2024 07:45:00","BZN|NL","4082.00","4082.00"," ","2086.32"
"01/01/2024 07:45:00 - 01/01/2024 08:00:00","BZN|NL","4054.00","4054.00"," ","2140.67"
"01/01/2024 08:00:00 - 01/01/2024 08:15:00","BZN|NL","4022.00","4022.00"," ","2146.27"
"01/01/2024 08:15:00 - 01/01/2024 08:30:00","BZN|NL","3994.00","3994.00"," ","2115.83"
"01/01/2024 08:30:00 - 01/01/2024 08:45:00","BZN|NL","3964.00","3964.00"," ","2116.96"
"01/01/2024 08:45:00 - 01/01/2024 09:00:00","BZN|NL","3935.00","3935.00"," ","2080.45"
"01/01/2024 09:00:00 - 01/01/2024 09:15:00","BZN|NL","3907.00","3907.00"," ","2126.42"
"01/01/2024 09:15:00 - 01/01/2024 09:30:00","BZN|NL","3880.00","3880.00"," ","2164.77"
"01/01/2024 09:30:00 - 01/01/2024 09:45:00","BZN|NL","3858.00","3858.00"," ","2174.46"
"01/01/2024 09:45:00 - 01/01/2024 10:00:00","BZN|NL","3835.00","3835.00"," ","2198.22"
"01/01/2024 10:00:00 - 01/01/2024 10:15:00","BZN|NL","3810.00","3810.00"," ","2217.32"
"01/01/2024 10:15:00 - 01/01/2024 10:30:00","BZN|NL","3798.00","3798.00"," ","2201.43"
"01/01/2024 10:30:00 - 01/01/2024 10:45:00","BZN|NL","3796.00","3796.00"," ","2182.89"
"01/01/2024 10:45:00 - 01/01/2024 11:00:00","BZN|NL","3792.00","3792.00"," ","2175.77"
"01/01/2024 11:00:00 - 01/01/2024 11:15:00","BZN|NL","3790.00","3790.00"," ","2177.78"
"01/01/2024 11:15:00 - 01/01/2024 11:30:00","BZN|NL","3789.00","3789.00"," ","2174.06"
"01/01/2024 11:30:00 - 01/01/2024 11:45:00","BZN|NL","3791.00","3791.00"," ","2147.29"
"01/01/2024 11:45:00 - 01/01/2024 12:00:00","BZN|NL","3794.00","3794.00"," ","2171.78"
"01/01/2024 12:00:00 - 01/01/2024 12:15:00","BZN|NL","3797.00","3797.00"," ","2144.40"
"01/01/2024 12:15:00 - 01/01/2024 12:30:00","BZN|NL","3795.00","3795.00"," ","2213.39"
"01/01/2024 12:30:00 - 01/01/2024 12:45:00","BZN|NL","3791.00","3791.00"," ","2233.19"
"01/01/2024 12:45:00 - 01/01/2024 13:00:00","BZN|NL","3786.00","3786.00"," ","2237.28"
"01/01/2024 13:00:00 - 01/01/2024 13:15:00","BZN|NL","3779.00","3779.00"," ","2275.39"
"01/01/2024 13:15:00 - 01/01/2024 13:30:00","BZN|NL","3763.00","3763.00"," ","2265.44"
"01/01/2024 13:30:00 - 01/01/2024 13:45:00","BZN|NL","3735.00","3735.00"," ","2217.65"
"01/01/2024 13:45:00 - 01/01/2024 14:00:00","BZN|NL","3708.00","3708.00"," ","2228.50"
"01/01/2024 14:00:00 - 01/01/2024 14:15:00","BZN|NL","3679.00","3679.00"," ","2226.02"
"01/01/2024 14:15:00 - 01/01/2024 14:30:00","BZN|NL","3647.00","3647.00"," ","2264.66"
"01/01/2024 14:30:00 - 01/01/2024 14:45:00","BZN|NL","3613.00","3613.00"," ","2260.61"
"01/01/2024 14:45:00 - 01/01/2024 15:00:00","BZN|NL","3575.00","3575.00"," ","2242.62"
"01/01/2024 15:00:00 - 01/01/2024 15:15:00","BZN|NL","3541.00","3541.00"," ","2231.64"
"01/01/2024 15:15:00 - 01/01/2024 15:30:00","BZN|NL","3502.00","3502.00"," ","2204.89"
"01/01/2024 15:30:00 - 01/01/2024 15:45:00","BZN|NL","3459.00","3459.00"," ","2127.63"
"01/01/2024 15:45:00 - 01/01/2024 16:00:00","BZN|NL","3412.00","3412.00"," ","2078.08"
"01/01/2024 16:00:00 - 01/01/2024 16:15:00","BZN|NL","3370.00","3370.00"," ","1999.64"
"01/01/2024 16:15:00 - 01/01/2024 16:30:00","BZN|NL","3312.00","3312.00"," ","1978.20"
"01/01/2024 16:30:00 - 01/01/2024 16:45:00","BZN|NL","3238.00","3238.00"," ","1917.62"
"01/01/2024 16:45:00 - 01/01/2024 17:00:00","BZN|NL","3165.00","3165.00"," ","1854.67"
"01/01/2024 17:00:00 - 01/01/2024 17:15:00","BZN|NL","3093.00","3093.00"," ","1816.00"
"01/01/2024 17:15:00 - 01/01/2024 17:30:00","BZN|NL","3019.00","3019.00"," ","1743.74"
"01/01/2024 17:30:00 - 01/01/2024 17:45:00","BZN|NL","2942.00","2942.00"," ","1676.30"
"01/01/2024 17:45:00 - 01/01/2024 18:00:00","BZN|NL","2865.00","2865.00"," ","1658.14"
"01/01/2024 18:00:00 - 01/01/2024 18:15:00","BZN|NL","2789.00","2789.00"," ","1507.92"
"01/01/2024 18:15:00 - 01/01/2024 18:30:00","BZN|NL","2712.00","2712.00"," ","1562.23"
"01/01/2024 18:30:00 - 01/01/2024 18:45:00","BZN|NL","2637.00","2637.00"," ","1551.06"
"01/01/2024 18:45:00 - 01/01/2024 19:00:00","BZN|NL","2562.00","2562.00"," ","1523.65"
"01/01/2024 19:00:00 - 01/01/2024 19:15:00","BZN|NL","2487.00","2487.00"," ","1477.46"
"01/01/2024 19:15:00 - 01/01/2024 19:30:00","BZN|NL","2424.00","2424.00"," ","1364.74"
"01/01/2024 19:30:00 - 01/01/2024 19:45:00","BZN|NL","2377.00","2377.00"," ","1470.10"
"01/01/2024 19:45:00 - 01/01/2024 20:00:00","BZN|NL","2332.00","2332.00"," ","1461.48"
"01/01/2024 20:00:00 - 01/01/2024 20:15:00","BZN|NL","2286.00","2286.00"," ","1450.68"
"01/01/2024 20:15:00 - 01/01/2024 20:30:00","BZN|NL","2243.00","2243.00"," ","1451.42"
"01/01/2024 20:30:00 - 01/01/2024 20:45:00","BZN|NL","2203.00","2203.00"," ","1496.18"
"01/01/2024 20:45:00 - 01/01/2024 21:00:00","BZN|NL","2165.00","2165.00"," ","1416.91"
"01/01/2024 21:00:00 - 01/01/2024 21:15:00","BZN|NL","2127.00","2127.00"," ","1353.61"
"01/01/2024 21:15:00 - 01/01/2024 21:30:00","BZN|NL","2088.00","2088.00"," ","1377.52"
"01/01/2024 21:30:00 - 01/01/2024 21:45:00","BZN|NL","2054.00","2054.00"," ","1350.48"
"01/01/2024 21:45:00 - 01/01/2024 22:00:00","BZN|NL","2016.00","2016.00"," ","1329.65"
"01/01/2024 22:00:00 - 01/01/2024 22:15:00","BZN|NL","1980.00","1980.00"," ","1335.78"
"01/01/2024 22:15:00 - 01/01/2024 22:30:00","BZN|NL","1985.00","1985.00"," ","1377.72"
"01/01/2024 22:30:00 - 01/01/2024 22:45:00","BZN|NL","2026.00","2026.00"," ","1448.67"
"01/01/2024 22:45:00 - 01/01/2024 23:00:00","BZN|NL","2069.00","2069.00"," ","1402.21"
"01/01/2024 23:00:00 - 01/01/2024 23:15:00","BZN|NL","2110.00","2110.00"," ","1546.93"
"01/01/2024 23:15:00 - 01/01/2024 23:30:00","BZN|NL","2157.00","2157.00"," ","1576.48"
"01/01/2024 23:30:00 - 01/01/2024 23:45:00","BZN|NL","2213.00","2213.00"," ","1540.25"
"01/01/2024 23:45:00 - 02/01/2024 00:00:00","BZN|NL","2267.00","2267.00"," ","1510.20"
"02/01/2024 00:00:00 - 02/01/2024 00:15:00","BZN|NL","2482.00","2482.00"," ","1380.01"
"02/01/2024 00:15:00 - 02/01/2024 00:30:00","BZN|NL","2503.00","2503.00"," ","1300.96"
"02/01/2024 00:30:00 - 02/01/2024 00:45:00","BZN|NL","2524.00","2524.00"," ","1332.50"
"02/01/2024 00:45:00 - 02/01/2024 01:00:00","BZN|NL","2544.00","2544.00"," ","1362.58"
"02/01/2024 01:00:00 - 02/01/2024 01:15:00","BZN|NL","2567.00","2567.00"," ","1538.69"
"02/01/2024 01:15:00 - 02/01/2024 01:30:00","BZN|NL","2612.00","2612.00"," ","1500.45"
"02/01/2024 01:30:00 - 02/01/2024 01:45:00","BZN|NL","2681.00","2681.00"," ","1425.78"
"02/01/2024 01:45:00 - 02/01/2024 02:00:00","BZN|NL","2752.00","2752.00"," ","1469.59"
"02/01/2024 02:00:00 - 02/01/2024 02:15:00","BZN|NL","2820.00","2820.00"," ","1748.69"
"02/01/2024 02:15:00 - 02/01/2024 02:30:00","BZN|NL","2891.00","2891.00"," ","1797.18"
"02/01/2024 02:30:00 - 02/01/2024 02:45:00","BZN|NL","2954.00","2954.00"," ","1824.49"
"02/01/2024 02:45:00 - 02/01/2024 03:00:00","BZN|NL","3024.00","3024.00"," ","1755.33"
"02/01/2024 03:00:00 - 02/01/2024 03:15:00","BZN|NL","3090.00","3090.00"," ","1912.35"
"02/01/2024 03:15:00 - 02/01/2024 03:30:00","BZN|NL","3152.00","3152.00"," ","1903.84"
"02/01/2024 03:30:00 - 02/01/2024 03:45:00","BZN|NL","3212.00","3212.00"," ","1923.49"
"02/01/2024 03:45:00 - 02/01/2024 04:00:00","BZN|NL","3275.00","3275.00"," ","1909.06"
"02/01/2024 04:00:00 - 02/01/2024 04:15:00","BZN|NL","3334.00","3334.00"," ","1996.99"
"02/01/2024 04:15:00 - 02/01/2024 04:30:00","BZN|NL","3376.00","3376.00"," ","2029.82"
"02/01/2024 04:30:00 - 02/01/2024 04:45:00","BZN|NL","3399.00","3399.00"," ","2045.93"
"02/01/2024 04:45:00 - 02/01/2024 05:00:00","BZN|NL","3427.00","3427.00"," ","1991.17"
"02/01/2024 05:00:00 - 02/01/2024 05:15:00","BZN|NL","3450.00","3450.00"," ","2040.03"
"02/01/2024 05:15:00 - 02/01/2024 05:30:00","BZN|NL","3478.00","3478.00"," ","2060.47"
"02/01/2024 05:30:00 - 02/01/2024 05:45:00","BZN|NL","3510.00","3510.00"," ","2096.58"
"02/01/2024 05:45:00 - 02/01/2024 06:00:00","BZN|NL","3541.00","3541.00"," ","1988.92"
"02/01/2024 06:00:00 - 02/01/2024 06:15:00","BZN|NL","3575.00","3575.00"," ","1705.97"
"02/01/2024 06:15:00 - 02/01/2024 06:30:00","BZN|NL","3603.00","3603.00"," ","1751.11"
"02/01/2024 06:30:00 - 02/01/2024 06:45:00","BZN|NL","3633.00","3633.00"," ","1873.29"
"02/01/2024 06:45:00 - 02/01/2024 07:00:00","BZN|NL","3662.00","3662.00"," ","1937.03"
"02/01/2024 07:00:00 - 02/01/2024 07:15:00","BZN|NL","3690.00","3690.00"," ","1816.84"
