feature,r2_price,r2_total_load,load_minus_price
cloud_cover,5.112628925774132e-07,0.005625414785741634,0.005624903522849056
shortwave_radiation,0.010649294737977932,0.04472858082477693,0.034079286086799
temperature_2m,0.0008584139496191634,0.06311409467948348,0.062255680729864316
wind_speed_10m,0.03684338161958123,0.0037058301453067877,-0.03313755147427444
