feature,lag_hours,correlation,abs_correlation
total_load,39,-0.20014048189305317,0.20014048189305317
wind_speed_10m,0,-0.19194629879104494,0.19194629879104494
shortwave_radiation,0,-0.10319542014051775,0.10319542014051775
generation_forecast,48,0.0820808073327497,0.0820808073327497
temperature_2m,0,-0.029298702183186257,0.029298702183186257
cloud_cover,22,-0.018037380166864073,0.018037380166864073
