"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2016 00:00 - 01/01/2016 00:15","BZN|NL","10924.00","11169.40"
"01/01/2016 00:15 - 01/01/2016 00:30","BZN|NL","10905.00","10933.28"
"01/01/2016 00:30 - 01/01/2016 00:45","BZN|NL","10886.00","10697.18"
"01/01/2016 00:45 - 01/01/2016 01:00","BZN|NL","10821.00","10481.98"
"01/01/2016 01:00 - 01/01/2016 01:15","BZN|NL","10755.00","10286.16"
"01/01/2016 01:15 - 01/01/2016 01:30","BZN|NL","10636.00","10119.39"
"01/01/2016 01:30 - 01/01/2016 01:45","BZN|NL","10534.00","10009.98"
"01/01/2016 01:45 - 01/01/2016 02:00","BZN|NL","10396.00","9866.35"
"01/01/2016 02:00 - 01/01/2016 02:15","BZN|NL","10292.00","9765.08"
"01/01/2016 02:15 - 01/01/2016 02:30","BZN|NL","10138.00","9671.30"
"01/01/2016 02:30 - 01/01/2016 02:45","BZN|NL","10025.00","9602.00"
"01/01/2016 02:45 - 01/01/2016 03:00","BZN|NL","9874.00","9530.88"
"01/01/2016 03:00 - 01/01/2016 03:15","BZN|NL","9773.00","9500.01"
"01/01/2016 03:15 - 01/01/2016 03:30","BZN|NL","9650.00","9480.27"
"01/01/2016 03:30 - 01/01/2016 03:45","BZN|NL","9558.00","9462.35"
"01/01/2016 03:45 - 01/01/2016 04:00","BZN|NL","9474.00","9438.19"
"01/01/2016 04:00 - 01/01/2016 04:15","BZN|NL","9421.00","9435.58"
"01/01/2016 04:15 - 01/01/2016 04:30","BZN|NL","9375.00","9494.55"
"01/01/2016 04:30 - 01/01/2016 04:45","BZN|NL","9344.00","9563.88"
"01/01/2016 04:45 - 01/01/2016 05:00","BZN|NL","9326.00","9611.95"
"01/01/2016 05:00 - 01/01/2016 05:15","BZN|NL","9339.00","9712.52"
"01/01/2016 05:15 - 01/01/2016 05:30","BZN|NL","9357.00","9863.12"
"01/01/2016 05:30 - 01/01/2016 05:45","BZN|NL","9369.00","10009.04"
"01/01/2016 05:45 - 01/01/2016 06:00","BZN|NL","9411.00","10254.21"
"01/01/2016 06:00 - 01/01/2016 06:15","BZN|NL","9522.00","10573.43"
"01/01/2016 06:15 - 01/01/2016 06:30","BZN|NL","9573.00","10932.92"
"01/01/2016 06:30 - 01/01/2016 06:45","BZN|NL","9644.00","11299.59"
"01/01/2016 06:45 - 01/01/2016 07:00","BZN|NL","9707.00","11730.53"
"01/01/2016 07:00 - 01/01/2016 07:15","BZN|NL","9828.00","12218.99"
"01/01/2016 07:15 - 01/01/2016 07:30","BZN|NL","9916.00","12691.32"
"01/01/2016 07:30 - 01/01/2016 07:45","BZN|NL","10027.00","13168.26"
"01/01/2016 07:45 - 01/01/2016 08:00","BZN|NL","10122.00","13692.37"
"01/01/2016 08:00 - 01/01/2016 08:15","BZN|NL","10245.00","14110.64"
"01/01/2016 08:15 - 01/01/2016 08:30","BZN|NL","10317.00","14480.71"
"01/01/2016 08:30 - 01/01/2016 08:45","BZN|NL","10256.00","14744.39"
"01/01/2016 08:45 - 01/01/2016 09:00","BZN|NL","10303.00","14897.39"
