"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2018 00:00:00 - 01/01/2018 00:15:00","BZN|NL","3453.00","N/A"," ","643.93"
"01/01/2018 00:15:00 - 01/01/2018 00:30:00","BZN|NL","3506.00","N/A"," ","661.68"
"01/01/2018 00:30:00 - 01/01/2018 00:45:00","BZN|NL","3532.00","N/A"," ","666.16"
"01/01/2018 00:45:00 - 01/01/2018 01:00:00","BZN|NL","3560.00","N/A"," ","669.13"
"01/01/2018 01:00:00 - 01/01/2018 01:15:00","BZN|NL","3563.00","N/A"," ","670.25"
"01/01/2018 01:15:00 - 01/01/2018 01:30:00","BZN|NL","3580.00","N/A"," ","670.86"
"01/01/2018 01:30:00 - 01/01/2018 01:45:00","BZN|NL","3593.00","N/A"," ","675.55"
"01/01/2018 01:45:00 - 01/01/2018 02:00:00","BZN|NL","3606.00","N/A"," ","663.02"
"01/01/2018 02:00:00 - 01/01/2018 02:15:00","BZN|NL","3617.00","N/A"," ","672.30"
"01/01/2018 02:15:00 - 01/01/2018 02:30:00","BZN|NL","3642.00","N/A"," ","678.29"
"01/01/2018 02:30:00 - 01/01/2018 02:45:00","BZN|NL","3682.00","N/A"," ","677.40"
"01/01/2018 02:45:00 - 01/01/2018 03:00:00","BZN|NL","3722.00","N/A"," ","678.59"
"01/01/2018 03:00:00 - 01/01/2018 03:15:00","BZN|NL","3761.00","N/A"," ","675.80"
"01/01/2018 03:15:00 - 01/01/2018 03:30:00","BZN|NL","3795.00","N/A"," ","681.78"
"01/01/2018 03:30:00 - 01/01/2018 03:45:00","BZN|NL","3821.00","N/A"," ","677.09"
"01/01/2018 03:45:00 - 01/01/2018 04:00:00","BZN|NL","3848.00","N/A"," ","685.08"
"01/01/2018 04:00:00 - 01/01/2018 04:15:00","BZN|NL","3873.00","N/A"," ","685.98"
"01/01/2018 04:15:00 - 01/01/2018 04:30:00","BZN|NL","3872.00","N/A"," ","680.32"
"01/01/2018 04:30:00 - 01/01/2018 04:45:00","BZN|NL","3847.00","N/A"," ","683.79"
"01/01/2018 04:45:00 - 01/01/2018 05:00:00","BZN|NL","3819.00","N/A"," ","676.07"
"01/01/2018 05:00:00 - 01/01/2018 05:15:00","BZN|NL","3794.00","N/A"," ","676.96"
"01/01/2018 05:15:00 - 01/01/2018 05:30:00","BZN|NL","3752.00","N/A"," ","677.49"
"01/01/2018 05:30:00 - 01/01/2018 05:45:00","BZN|NL","3689.00","N/A"," ","684.26"
"01/01/2018 05:45:00 - 01/01/2018 06:00:00","BZN|NL","3628.00","N/A"," ","680.78"
"01/01/2018 06:00:00 - 01/01/2018 06:15:00","BZN|NL","3566.00","N/A"," ","679.33"
"01/01/2018 06:15:00 - 01/01/2018 06:30:00","BZN|NL","3456.00","N/A"," ","680.93"
"01/01/2018 06:30:00 - 01/01/2018 06:45:00","BZN|NL","3300.00","N/A"," ","677.61"
"01/01/2018 06:45:00 - 01/01/2018 07:00:00","BZN|NL","3141.00","N/A"," ","674.77"
"01/01/2018 07:00:00 - 01/01/2018 07:15:00","BZN|NL","2984.00","N/A"," ","672.50"
"01/01/2018 07:15:00 - 01/01/2018 07:30:00","BZN|NL","2898.00","N/A"," ","671.93"
"01/01/2018 07:30:00 - 01/01/2018 07:45:00","BZN|NL","2887.00","N/A"," ","671.17"
"01/01/2018 07:45:00 - 01/01/2018 08:00:00","BZN|NL","2877.00","N/A"," ","669.66"
"01/01/2018 08:00:00 - 01/01/2018 08:15:00","BZN|NL","2865.00","N/A"," ","648.02"
"01/01/2018 08:15:00 - 01/01/2018 08:30:00","BZN|NL","2874.00","N/A"," ","652.15"
"01/01/2018 08:30:00 - 01/01/2018 08:45:00","BZN|NL","2898.00","N/A"," ","662.86"
"01/01/2018 08:45:00 - 01/01/2018 09:00:00","BZN|NL","2923.00","N/A"," ","649.07"
"01/01/2018 09:00:00 - 01/01/2018 09:15:00","BZN|NL","2950.00","N/A"," ","593.64"
"01/01/2018 09:15:00 - 01/01/2018 09:30:00","BZN|NL","2969.00","N/A"," ","616.23"
"01/01/2018 09:30:00 - 01/01/2018 09:45:00","BZN|NL","2981.00","N/A"," ","633.30"
"01/01/2018 09:45:00 - 01/01/2018 10:00:00","BZN|NL","2992.00","N/A"," ","637.49"
"01/01/2018 10:00:00 - 01/01/2018 10:15:00","BZN|NL","3004.00","N/A"," ","616.24"
"01/01/2018 10:15:00 - 01/01/2018 10:30:00","BZN|NL","3003.00","N/A"," ","619.92"
"01/01/2018 10:30:00 - 01/01/2018 10:45:00","BZN|NL","2989.00","N/A"," ","637.75"
"01/01/2018 10:45:00 - 01/01/2018 11:00:00","BZN|NL","2975.00","N/A"," ","643.71"
"01/01/2018 11:00:00 - 01/01/2018 11:15:00","BZN|NL","2961.00","N/A"," ","643.08"
"01/01/2018 11:15:00 - 01/01/2018 11:30:00","BZN|NL","2937.00","N/A"," ","636.56"
"01/01/2018 11:30:00 - 01/01/2018 11:45:00","BZN|NL","2902.00","N/A"," ","622.11"
"01/01/2018 11:45:00 - 01/01/2018 12:00:00","BZN|NL","2867.00","N/A"," ","622.64"
"01/01/2018 12:00:00 - 01/01/2018 12:15:00","BZN|NL","2831.00","N/A"," ","605.38"
"01/01/2018 12:15:00 - 01/01/2018 12:30:00","BZN|NL","2776.00","N/A"," ","608.10"
"01/01/2018 12:30:00 - 01/01/2018 12:45:00","BZN|NL","2701.00","N/A"," ","580.46"
"01/01/2018 12:45:00 - 01/01/2018 13:00:00","BZN|NL","2627.00","N/A"," ","595.28"
"01/01/2018 13:00:00 - 01/01/2018 13:15:00","BZN|NL","2553.00","N/A"," ","574.38"
"01/01/2018 13:15:00 - 01/01/2018 13:30:00","BZN|NL","2449.00","N/A"," ","541.16"
"01/01/2018 13:30:00 - 01/01/2018 13:45:00","BZN|NL","2318.00","N/A"," ","512.23"
"01/01/2018 13:45:00 - 01/01/2018 14:00:00","BZN|NL","2190.00","N/A"," ","495.60"
"01/01/2018 14:00:00 - 01/01/2018 14:15:00","BZN|NL","2062.00","N/A"," ","485.13"
"01/01/2018 14:15:00 - 01/01/2018 14:30:00","BZN|NL","1941.00","N/A"," ","462.14"
"01/01/2018 14:30:00 - 01/01/2018 14:45:00","BZN|NL","1827.00","N/A"," ","458.26"
"01/01/2018 14:45:00 - 01/01/2018 15:00:00","BZN|NL","1714.00","N/A"," ","405.50"
"01/01/2018 15:00:00 - 01/01/2018 15:15:00","BZN|NL","1602.00","N/A"," ","320.64"
"01/01/2018 15:15:00 - 01/01/2018 15:30:00","BZN|NL","1494.00","N/A"," ","255.41"
"01/01/2018 15:30:00 - 01/01/2018 15:45:00","BZN|NL","1389.00","N/A"," ","225.48"
"01/01/2018 15:45:00 - 01/01/2018 16:00:00","BZN|NL","1284.00","N/A"," ","187.60"
"01/01/2018 16:00:00 - 01/01/2018 16:15:00","BZN|NL","1183.00","N/A"," ","155.42"
"01/01/2018 16:15:00 - 01/01/2018 16:30:00","BZN|NL","1091.00","N/A"," ","174.14"
"01/01/2018 16:30:00 - 01/01/2018 16:45:00","BZN|NL","1010.00","N/A"," ","160.63"
"01/01/2018 16:45:00 - 01/01/2018 17:00:00","BZN|NL","927.00","N/A"," ","152.81"
"01/01/2018 17:00:00 - 01/01/2018 17:15:00","BZN|NL","847.00","N/A"," ","127.21"
"01/01/2018 17:15:00 - 01/01/2018 17:30:00","BZN|NL","778.00","N/A"," ","104.17"
"01/01/2018 17:30:00 - 01/01/2018 17:45:00","BZN|NL","726.00","N/A"," ","99.20"
"01/01/2018 17:45:00 - 01/01/2018 18:00:00","BZN|NL","674.00","N/A"," ","86.17"
"01/01/2018 18:00:00 - 01/01/2018 18:15:00","BZN|NL","620.00","N/A"," ","78.52"
"01/01/2018 18:15:00 - 01/01/2018 18:30:00","BZN|NL","565.00","N/A"," ","69.08"
"01/01/2018 18:30:00 - 01/01/2018 18:45:00","BZN|NL","508.00","N/A"," ","64.62"
"01/01/2018 18:45:00 - 01/01/2018 19:00:00","BZN|NL","450.00","N/A"," ","59.01"
"01/01/2018 19:00:00 - 01/01/2018 19:15:00","BZN|NL","393.00","N/A"," ","54.32"
"01/01/2018 19:15:00 - 01/01/2018 19:30:00","BZN|NL","364.00","N/A"," ","53.80"
"01/01/2018 19:30:00 - 01/01/2018 19:45:00","BZN|NL","359.00","N/A"," ","48.14"
"01/01/2018 19:45:00 - 01/01/2018 20:00:00","BZN|NL","354.00","N/A"," ","58.04"
"01/01/2018 20:00:00 - 01/01/2018 20:15:00","BZN|NL","352.00","N/A"," ","75.84"
"01/01/2018 20:15:00 - 01/01/2018 20:30:00","BZN|NL","360.00","N/A"," ","89.37"
"01/01/2018 20:30:00 - 01/01/2018 20:45:00","BZN|NL","385.00","N/A"," ","110.76"
"01/01/2018 20:45:00 - 01/01/2018 21:00:00","BZN|NL","407.00","N/A"," ","121.44"
"01/01/2018 21:00:00 - 01/01/2018 21:15:00","BZN|NL","433.00","N/A"," ","148.68"
"01/01/2018 21:15:00 - 01/01/2018 21:30:00","BZN|NL","468.00","N/A"," ","163.34"
"01/01/2018 21:30:00 - 01/01/2018 21:45:00","BZN|NL","516.00","N/A"," ","177.31"
"01/01/2018 21:45:00 - 01/01/2018 22:00:00","BZN|NL","567.00","N/A"," ","164.39"
"01/01/2018 22:00:00 - 01/01/2018 22:15:00","BZN|NL","616.00","N/A"," ","185.76"
"01/01/2018 22:15:00 - 01/01/2018 22:30:00","BZN|NL","657.00","N/A"," ","249.82"
"01/01/2018 22:30:00 - 01/01/2018 22:45:00","BZN|NL","694.00","N/A"," ","195.74"
"01/01/2018 22:45:00 - 01/01/2018 23:00:00","BZN|NL","731.00","N/A"," ","156.21"
"01/01/2018 23:00:00 - 01/01/2018 23:15:00","BZN|NL","765.00","N/A"," ","163.77"
