"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2022 00:00:00 - 01/01/2022 00:15:00","BZN|NL","2721.00","2721.00"," ","1544.17"
"01/01/2022 00:15:00 - 01/01/2022 00:30:00","BZN|NL","2671.00","2671.00"," ","1575.44"
"01/01/2022 00:30:00 - 01/01/2022 00:45:00","BZN|NL","2621.00","2621.00"," ","1598.88"
"01/01/2022 00:45:00 - 01/01/2022 01:00:00","BZN|NL","2572.00","2572.00"," ","1539.35"
"01/01/2022 01:00:00 - 01/01/2022 01:15:00","BZN|NL","2520.00","2520.00"," ","1515.99"
"01/01/2022 01:15:00 - 01/01/2022 01:30:00","BZN|NL","2459.00","2459.00"," ","1518.82"
"01/01/2022 01:30:00 - 01/01/2022 01:45:00","BZN|NL","2385.00","2385.00"," ","1458.48"
"01/01/2022 01:45:00 - 01/01/2022 02:00:00","BZN|NL","2315.00","2315.00"," ","1417.64"
"01/01/2022 02:00:00 - 01/01/2022 02:15:00","BZN|NL","2243.00","2243.00"," ","1343.84"
"01/01/2022 02:15:00 - 01/01/2022 02:30:00","BZN|NL","2184.00","2184.00"," ","1325.49"
"01/01/2022 02:30:00 - 01/01/2022 02:45:00","BZN|NL","2133.00","2133.00"," ","1371.12"
"01/01/2022 02:45:00 - 01/01/2022 03:00:00","BZN|NL","2087.00","2087.00"," ","1436.01"
"01/01/2022 03:00:00 - 01/01/2022 03:15:00","BZN|NL","2037.00","2037.00"," ","1361.96"
"01/01/2022 03:15:00 - 01/01/2022 03:30:00","BZN|NL","1985.00","1985.00"," ","1405.09"
"01/01/2022 03:30:00 - 01/01/2022 03:45:00","BZN|NL","1927.00","1927.00"," ","1442.15"
"01/01/2022 03:45:00 - 01/01/2022 04:00:00","BZN|NL","1870.00","1870.00"," ","1403.17"
"01/01/2022 04:00:00 - 01/01/2022 04:15:00","BZN|NL","1812.00","1812.00"," ","1433.69"
"01/01/2022 04:15:00 - 01/01/2022 04:30:00","BZN|NL","1745.00","1745.00"," ","1424.30"
"01/01/2022 04:30:00 - 01/01/2022 04:45:00","BZN|NL","1672.00","1672.00"," ","1404.74"
"01/01/2022 04:45:00 - 01/01/2022 05:00:00","BZN|NL","1598.00","1598.00"," ","1377.25"
"01/01/2022 05:00:00 - 01/01/2022 05:15:00","BZN|NL","1525.00","1525.00"," ","1286.00"
"01/01/2022 05:15:00 - 01/01/2022 05:30:00","BZN|NL","1473.00","1473.00"," ","1236.54"
"01/01/2022 05:30:00 - 01/01/2022 05:45:00","BZN|NL","1440.00","1440.00"," ","1316.69"
"01/01/2022 05:45:00 - 01/01/2022 06:00:00","BZN|NL","1409.00","1409.00"," ","1331.77"
