"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2023 00:00:00 - 01/01/2023 00:15:00","BZN|NL","5862.00","5862.00"," ","1832.78"
"01/01/2023 00:15:00 - 01/01/2023 00:30:00","BZN|NL","5851.00","5851.00"," ","1737.70"
"01/01/2023 00:30:00 - 01/01/2023 00:45:00","BZN|NL","5841.00","5841.00"," ","1767.78"
"01/01/2023 00:45:00 - 01/01/2023 01:00:00","BZN|NL","5830.00","5830.00"," ","1831.25"
"01/01/2023 01:00:00 - 01/01/2023 01:15:00","BZN|NL","5822.00","5822.00"," ","1880.84"
"01/01/2023 01:15:00 - 01/01/2023 01:30:00","BZN|NL","5803.00","5803.00"," ","1900.36"
"01/01/2023 01:30:00 - 01/01/2023 01:45:00","BZN|NL","5777.00","5777.00"," ","1840.97"
"01/01/2023 01:45:00 - 01/01/2023 02:00:00","BZN|NL","5754.00","5754.00"," ","1852.61"
"01/01/2023 02:00:00 - 01/01/2023 02:15:00","BZN|NL","5728.00","5728.00"," ","1889.97"
"01/01/2023 02:15:00 - 01/01/2023 02:30:00","BZN|NL","5704.00","5704.00"," ","1861.54"
"01/01/2023 02:30:00 - 01/01/2023 02:45:00","BZN|NL","5680.00","5680.00"," ","1806.97"
"01/01/2023 02:45:00 - 01/01/2023 03:00:00","BZN|NL","5651.00","5651.00"," ","1800.89"
"01/01/2023 03:00:00 - 01/01/2023 03:15:00","BZN|NL","5626.00","5626.00"," ","1785.26"
"01/01/2023 03:15:00 - 01/01/2023 03:30:00","BZN|NL","5599.00","5599.00"," ","1786.08"
"01/01/2023 03:30:00 - 01/01/2023 03:45:00","BZN|NL","5568.00","5568.00"," ","1767.89"
"01/01/2023 03:45:00 - 01/01/2023 04:00:00","BZN|NL","5538.00","5538.00"," ","1775.10"
"01/01/2023 04:00:00 - 01/01/2023 04:15:00","BZN|NL","5508.00","5508.00"," ","1791.79"
"01/01/2023 04:15:00 - 01/01/2023 04:30:00","BZN|NL","5476.00","5476.00"," ","1783.12"
"01/01/2023 04:30:00 - 01/01/2023 04:45:00","BZN|NL","5446.00","5446.00"," ","1765.16"
